Fecha_Hora;Job_ID;Circuito_Nombre;Layout_Circuito;Layout_Centinela;Modo_Centinela;Shots_Totales;Shots_Validos;Supervivencia_(%)
2026-09-21 12:37:05;Simulacion;grover_9_vq.py;[45- 37- 25- 24- 23- 16- 3- 2- 1];[44];dynamic_local_initial_ramsey;10000;9732;97.32
2026-09-21 12:37:05;Simulacion;pe_3_mqt.py;[101- 116- 121];[102];dynamic_local_initial_ramsey;10000;7796;77.96
2026-09-21 12:37:05;Simulacion;pe_5_mqt.py;[131- 130- 129- 118- 109];[132];dynamic_local_initial_ramsey;10000;7646;76.46
2026-09-21 12:37:05;Simulacion;shor_mod15_mqt.py;[93- 79- 73- 74- 75];[59];dynamic_local_initial_ramsey;10000;5154;51.54
2026-09-21 12:37:05;Simulacion;simon_vq.py;[15- 19- 35- 34- 33- 39];[14];dynamic_local_initial_ramsey;10000;7695;76.95
2026-09-21 12:37:06;Simulacion;grover-noancilla_3_mqt.py;[143- 144- 145];[142];dynamic_local_initial_ramsey;10000;2857;28.57
2026-09-21 12:37:06;Simulacion;tsp_indep_5_mqt.py;[87- 86- 85- 77- 65];[64];dynamic_local_initial_ramsey;10000;4452;44.52
2026-09-21 12:37:06;Simulacion;bv_2_vq.py;[10- 9];[8];dynamic_local_initial_ramsey;10000;5473;54.73
2026-09-21 12:37:08;Simulacion;shor_mod21_mqt.py;[45- 37- 25- 24- 23- 16- 3- 2];[1];dynamic_local_initial_ramsey;10000;9650;96.50
2026-09-21 12:37:09;Simulacion;vqe_indep_4_mqt.py;[131- 130- 129- 118];[132];dynamic_local_initial_ramsey;10000;9602;96.02
2026-09-21 12:37:09;Simulacion;qaoa_indep_3_mqt.py;[101- 116- 121];[102];dynamic_local_initial_ramsey;10000;8954;89.54
2026-09-21 12:37:09;Simulacion;grover-v-chain_3_mqt.py;[75- 59- 55];[54];dynamic_local_initial_ramsey;10000;9382;93.82
2026-09-21 12:37:09;Simulacion;pe_4_mqt.py;[143- 144- 145- 146];[142];dynamic_local_initial_ramsey;10000;7589;75.89
2026-09-21 12:37:09;Simulacion;pe_2_vq.py;[58- 71- 70];[69];dynamic_local_initial_ramsey;10000;8095;80.95
2026-09-21 12:37:09;Simulacion;bv_4_vq.py;[15- 14- 13- 12];[19];dynamic_local_initial_ramsey;10000;5590;55.90
2026-09-21 12:37:09;Simulacion;grover-noancilla_4_mqt.py;[93- 94- 95- 99];[115];dynamic_local_initial_ramsey;10000;9233;92.33
2026-09-21 12:37:09;Simulacion;adder_n4_vq.py;[61- 76- 81- 80];[62];dynamic_local_initial_ramsey;10000;6911;69.11
2026-09-21 12:37:09;Simulacion;qft_2_mqt.py;[87- 97];[86];dynamic_local_initial_ramsey;10000;7903;79.03
2026-09-21 12:37:13;Simulacion;qaoa_indep_5_mqt.py;[45- 37- 25- 26- 27];[28];dynamic_local_initial_ramsey;10000;9770;97.70
2026-09-21 12:37:13;Simulacion;bv_5_vq.py;[131- 130- 129- 118- 109];[132];dynamic_local_initial_ramsey;10000;9861;98.61
2026-09-21 12:37:13;Simulacion;qft_7_vq.py;[15- 19- 35- 34- 33- 39- 53];[54];dynamic_local_initial_ramsey;10000;9792;97.92
2026-09-21 12:37:13;Simulacion;bv_3_vq.py;[101- 116- 121];[102];dynamic_local_initial_ramsey;10000;9313;93.13
2026-09-21 12:37:13;Simulacion;pe_6_vq.py;[93- 92- 91- 90- 89- 88- 87];[86];dynamic_local_initial_ramsey;10000;9871;98.71
2026-09-21 12:37:13;Simulacion;tsp_indep_4_mqt.py;[20- 21- 36- 41];[40];dynamic_local_initial_ramsey;10000;9756;97.56
2026-09-21 12:37:13;Simulacion;su2_5_vq.py;[2- 3- 4- 5];[1];dynamic_local_initial_ramsey;10000;9639;96.39
2026-09-21 12:37:13;Simulacion;qwalk-v-chain_3_mqt.py;[143- 144- 145];[142];dynamic_local_initial_ramsey;10000;9850;98.50
2026-09-21 12:37:13;Simulacion;qft_3_mqt.py;[61- 76- 81];[80];dynamic_local_initial_ramsey;10000;8430;84.30
2026-09-21 12:37:19;Simulacion;dj_indep_7_mqt.py;[45- 37- 25- 24- 23- 16- 3];[2];dynamic_local_initial_ramsey;10000;9851;98.51
