Circuito,Ejecucion,Hellinger
grover_9_vq.py,1,0.2118160502149192
grover_9_vq.py,2,0.2359200558748366
pe_3_mqt.py,1,0.0714308133003633
pe_3_mqt.py,2,0.1369994821811009
pe_5_mqt.py,1,0.271965105341584
pe_5_mqt.py,2,0.2478123014562118
shor_mod15_mqt.py,1,0.051894010918079665
shor_mod15_mqt.py,2,0.6007221713664899
simon_vq.py,1,0.04141594218058741
simon_vq.py,2,0.04518637577831323
grover-noancilla_3_mqt.py,1,0.10070715893662746
grover-noancilla_3_mqt.py,2,0.11902234828006705
tsp_indep_5_mqt.py,1,0.0808447550079323
tsp_indep_5_mqt.py,2,0.09011130249798088
bv_2_vq.py,1,0.025468694969952844
bv_2_vq.py,2,0.05540808525143083
shor_mod21_mqt.py,1,0.15096440776162637
shor_mod21_mqt.py,2,0.19235271095782971
vqe_indep_4_mqt.py,1,0.18136538169675326
vqe_indep_4_mqt.py,2,0.1420469491799237
qaoa_indep_3_mqt.py,1,0.1636066331069047
qaoa_indep_3_mqt.py,2,0.1374245494210449
grover-v-chain_3_mqt.py,1,0.2207139585540099
grover-v-chain_3_mqt.py,2,0.11686508634375527
pe_4_mqt.py,1,0.2010698379754028
pe_4_mqt.py,2,0.19726123248470698
pe_2_vq.py,1,0.0872526461861505
pe_2_vq.py,2,0.07563372168517601
bv_4_vq.py,1,0.2814678509392782
bv_4_vq.py,2,0.1432936713993575
grover-noancilla_4_mqt.py,1,0.10064886332872154
grover-noancilla_4_mqt.py,2,0.13601453990803092
adder_n4_vq.py,1,0.11915794807935895
adder_n4_vq.py,2,0.07119362115519219
qft_2_mqt.py,1,0.10268550046833455
qft_2_mqt.py,2,0.10544640255780399
qaoa_indep_5_mqt.py,1,0.1816039567576458
qaoa_indep_5_mqt.py,2,0.07970145169893866
bv_5_vq.py,1,0.18662095284463864
bv_5_vq.py,2,0.18117483727880845
qft_7_vq.py,1,0.2509359798788345
qft_7_vq.py,2,0.1319435498082023
bv_3_vq.py,1,0.1357557598987008
bv_3_vq.py,2,0.08517421166535595
pe_6_vq.py,1,0.2163722815792723
pe_6_vq.py,2,0.2356210025192419
tsp_indep_4_mqt.py,1,0.1659875072751755
tsp_indep_4_mqt.py,2,0.08772915683793961
su2_5_vq.py,1,0.18308336734129152
su2_5_vq.py,2,0.09600711179561752
qwalk-v-chain_3_mqt.py,1,0.289220109197353
qwalk-v-chain_3_mqt.py,2,0.21845161077524572
qft_3_mqt.py,1,0.09124386518961408
qft_3_mqt.py,2,0.10393989338827958
dj_indep_7_mqt.py,1,0.334683040468901
dj_indep_7_mqt.py,2,0.2359208619879637
kickback_7_vq.py,1,0.025628430308459106
kickback_7_vq.py,2,0.005721629676977891
grover_7_vq.py,1,0.1346467631272995
grover_7_vq.py,2,0.13638259330514657
qft_3_vq.py,1,0.1164389707200674
qft_3_vq.py,2,0.11307486346361445
su2random_3_mqt.py,1,0.043167045467743415
su2random_3_mqt.py,2,0.06196913203936682
3_17tc_vq.py,1,0.06653905874522248
3_17tc_vq.py,2,0.17281280752127065
qft_6_mqt.py,1,0.10965035139543688
qft_6_mqt.py,2,0.10067631176095342
qft_4_mqt.py,1,0.19093622809019806
qft_4_mqt.py,2,0.1623801113032944
grover-v-chain_4_mqt.py,1,0.23399383487030034
grover-v-chain_4_mqt.py,2,0.22769928542013804
pe_5_vq.py,1,0.09642918099034921
pe_5_vq.py,2,0.06762644914739548
dj_indep_4_mqt.py,1,0.12860680047377632
dj_indep_4_mqt.py,2,0.14902871861438555
qwalk-noancilla_3_mqt.py,1,0.19668539742192828
qwalk-noancilla_3_mqt.py,2,0.17953867763274395
adder_n7_vq.py,1,0.09730246200101166
adder_n7_vq.py,2,0.13456878980101053
bv_9_vq.py,1,0.428705878042994
bv_9_vq.py,2,0.3065246510585356
qwalk-v-chain_5_mqt.py,1,0.09886170840913996
qwalk-v-chain_5_mqt.py,2,0.08698469711448364
pe_6_mqt.py,1,0.17990005052174746
pe_6_mqt.py,2,0.4912974380551287
grover_3_vq.py,1,0.1527414598688419
grover_3_vq.py,2,0.16930585102757337
dj_indep_5_mqt.py,1,0.13846131023340805
dj_indep_5_mqt.py,2,0.08705503678071218
qaoa_indep_4_mqt.py,1,0.10380042328566853
qaoa_indep_4_mqt.py,2,0.08645108203542769
vqe_indep_5_mqt.py,1,0.2472632441930727
vqe_indep_5_mqt.py,2,0.1888892544997393
pe_7_mqt.py,1,0.3862761208323733
pe_7_mqt.py,2,0.20366653385221498
vqe_indep_3_mqt.py,1,0.08574237481280335
vqe_indep_3_mqt.py,2,0.11001389361104685
adder_n10_vq.py,1,0.2929708193215004
adder_n10_vq.py,2,0.19711639104307802
