Circuito,Ejecucion,Hellinger,Jensen-Shannon
simon_vq.py,1,0.026427869972538726,0.02642408014252289
simon_vq.py,2,0.014401874129117106,0.014401457314216607
qaoa_indep_3_mqt.py,1,0.16570774028799012,0.16480689677515833
qaoa_indep_3_mqt.py,2,0.19552155351502834,0.19425037218630875
qft_3_vq.py,1,0.108728990403621,0.1084151085519965
qft_3_vq.py,2,0.14046044134899816,0.13985684185718555
bv_5_vq.py,1,0.24720795040564034,0.23952484389196016
bv_5_vq.py,2,0.2609087574699688,0.25634804458049315
su2random_3_mqt.py,1,0.028873620952960564,0.028870051158498635
su2random_3_mqt.py,2,0.0515337930780166,0.0515152779928186
bv_2_vq.py,1,0.09944699148964076,0.0983812806018684
bv_2_vq.py,2,0.01945794219665745,0.01944361321288155
grover_3_vq.py,1,0.12381205544289516,0.12232112466616088
grover_3_vq.py,2,0.14228854417264358,0.13967673367252337
qft_2_mqt.py,1,0.0964560772667792,0.09637639135202501
qft_2_mqt.py,2,0.09377443895075571,0.09369151898222096
tsp_indep_5_mqt.py,1,0.046831891572386465,0.04681450169831864
tsp_indep_5_mqt.py,2,0.06485844703643265,0.06480500963414206
kickback_7_vq.py,1,0.017438424533483213,0.017437978534964794
kickback_7_vq.py,2,0.002226903238326382,0.002226902315513542
tsp_indep_4_mqt.py,1,0.1267597687692857,0.12590690592334564
tsp_indep_4_mqt.py,2,0.08654215059539401,0.08605369916303343
pe_5_vq.py,1,0.1277842004076937,0.12704964771016344
pe_5_vq.py,2,0.11304150435751889,0.11240272056846984
bv_4_vq.py,1,0.2523162018737064,0.2428451841441093
bv_4_vq.py,2,0.12601004790984732,0.12484186049863036
qft_4_mqt.py,1,0.1357599337017979,0.1352251205495179
qft_4_mqt.py,2,0.17511003299600048,0.17414444323259295
pe_2_vq.py,1,0.07660425079328881,0.07594653951438515
pe_2_vq.py,2,0.08766752716375577,0.08667876635568947
qft_7_vq.py,1,0.25258051707291257,0.2489542533017718
qft_7_vq.py,2,0.1912472341236302,0.18952360547665048
qwalk-v-chain_5_mqt.py,1,0.1988099524239868,0.19723345348456772
qwalk-v-chain_5_mqt.py,2,0.05938193957850337,0.05932679247926687
dj_indep_7_mqt.py,1,0.31700356858265244,0.3086098352683849
dj_indep_7_mqt.py,2,0.6623894474349995,0.6152914668484911
pe_5_mqt.py,1,0.2625602861431509,0.2547907524409995
pe_5_mqt.py,2,0.2189124922802978,0.21512765615829235
pe_6_mqt.py,1,0.16688530861588738,0.16458560525259047
pe_6_mqt.py,2,0.14984183878226673,0.14854888833375476
qwalk-v-chain_3_mqt.py,1,0.2739104315641091,0.27201083337849885
qwalk-v-chain_3_mqt.py,2,0.23769422342306634,0.23551987952445236
su2_5_vq.py,1,0.4454752703812334,0.42407474217923347
su2_5_vq.py,2,0.08968717486279619,0.08800759986847304
grover-v-chain_3_mqt.py,1,0.23437918380919234,0.22859129375595696
grover-v-chain_3_mqt.py,2,0.1422263668521241,0.1402456917109078
qwalk-noancilla_3_mqt.py,1,0.1078971149638696,0.10762844154015017
qwalk-noancilla_3_mqt.py,2,0.1066685370058888,0.10640553387516562
grover_7_vq.py,1,0.19539702653595625,0.19355968596621437
grover_7_vq.py,2,0.17393242641063936,0.17116985719475292
shor_mod21_mqt.py,1,0.05508932027314102,0.05506569003518694
shor_mod21_mqt.py,2,0.029903524344014835,0.02989746489730645
pe_4_mqt.py,1,0.19429350043960006,0.1906653746611411
pe_4_mqt.py,2,0.23384888022870523,0.22736784966524942
qft_3_mqt.py,1,0.10984006105300323,0.10965051868673963
qft_3_mqt.py,2,0.10439079642972769,0.10421998945642645
vqe_indep_4_mqt.py,1,0.14948102647487424,0.14473686921744636
vqe_indep_4_mqt.py,2,0.11661234633481132,0.11408407778974199
