Circuito,Ejecucion,Hellinger
simon_vq.py,1,0.026427869972538726
simon_vq.py,2,0.014401874129117106
qaoa_indep_3_mqt.py,1,0.16570774028799012
qaoa_indep_3_mqt.py,2,0.19552155351502834
qft_3_vq.py,1,0.108728990403621
qft_3_vq.py,2,0.14046044134899816
bv_5_vq.py,1,0.24720795040564034
bv_5_vq.py,2,0.2609087574699688
su2random_3_mqt.py,1,0.028873620952960564
su2random_3_mqt.py,2,0.0515337930780166
bv_2_vq.py,1,0.09944699148964076
bv_2_vq.py,2,0.01945794219665745
grover_3_vq.py,1,0.12381205544289516
grover_3_vq.py,2,0.14228854417264358
qft_2_mqt.py,1,0.0964560772667792
qft_2_mqt.py,2,0.09377443895075571
tsp_indep_5_mqt.py,1,0.046831891572386465
tsp_indep_5_mqt.py,2,0.06485844703643265
kickback_7_vq.py,1,0.017438424533483213
kickback_7_vq.py,2,0.002226903238326382
tsp_indep_4_mqt.py,1,0.1267597687692857
tsp_indep_4_mqt.py,2,0.08654215059539401
pe_5_vq.py,1,0.1277842004076937
pe_5_vq.py,2,0.11304150435751889
bv_4_vq.py,1,0.2523162018737064
bv_4_vq.py,2,0.12601004790984732
qft_4_mqt.py,1,0.1357599337017979
qft_4_mqt.py,2,0.17511003299600048
pe_2_vq.py,1,0.07660425079328881
pe_2_vq.py,2,0.08766752716375577
qft_7_vq.py,1,0.25258051707291257
qft_7_vq.py,2,0.1912472341236302
qwalk-v-chain_5_mqt.py,1,0.1988099524239868
qwalk-v-chain_5_mqt.py,2,0.05938193957850337
dj_indep_7_mqt.py,1,0.31700356858265244
dj_indep_7_mqt.py,2,0.6623894474349995
pe_5_mqt.py,1,0.2625602861431509
pe_5_mqt.py,2,0.2189124922802978
pe_6_mqt.py,1,0.16688530861588738
pe_6_mqt.py,2,0.14984183878226673
qwalk-v-chain_3_mqt.py,1,0.2739104315641091
qwalk-v-chain_3_mqt.py,2,0.23769422342306634
su2_5_vq.py,1,0.4454752703812334
su2_5_vq.py,2,0.08968717486279619
grover-v-chain_3_mqt.py,1,0.23437918380919234
grover-v-chain_3_mqt.py,2,0.1422263668521241
qwalk-noancilla_3_mqt.py,1,0.1078971149638696
qwalk-noancilla_3_mqt.py,2,0.1066685370058888
grover_7_vq.py,1,0.19539702653595625
grover_7_vq.py,2,0.17393242641063936
shor_mod21_mqt.py,1,0.05508932027314102
shor_mod21_mqt.py,2,0.029903524344014835
pe_4_mqt.py,1,0.19429350043960006
pe_4_mqt.py,2,0.23384888022870523
qft_3_mqt.py,1,0.10984006105300323
qft_3_mqt.py,2,0.10439079642972769
vqe_indep_4_mqt.py,1,0.14948102647487424
vqe_indep_4_mqt.py,2,0.11661234633481132
bv_9_vq.py,1,0.6050873184309316
bv_9_vq.py,2,0.6567276452315401
shor_mod15_mqt.py,1,0.07062809653439074
shor_mod15_mqt.py,2,0.6052767329496211
pe_6_vq.py,1,0.1917825396382051
pe_6_vq.py,2,0.19553004454817363
grover-noancilla_3_mqt.py,1,0.1740551249278729
grover-noancilla_3_mqt.py,2,0.12169744921698565
pe_3_mqt.py,1,0.09971517159820782
pe_3_mqt.py,2,0.09073955472014725
3_17tc_vq.py,1,0.10984876517239184
3_17tc_vq.py,2,0.05123532100911569
grover-v-chain_4_mqt.py,1,0.24847860768600025
grover-v-chain_4_mqt.py,2,0.2968810633647734
adder_n4_vq.py,1,0.10918223345848706
adder_n4_vq.py,2,0.06552638237755845
bv_3_vq.py,1,0.058403468994495854
bv_3_vq.py,2,0.04701431584642786
qaoa_indep_5_mqt.py,1,0.18089046038235096
qaoa_indep_5_mqt.py,2,0.1584345487217366
grover-noancilla_4_mqt.py,1,0.14075944237579677
grover-noancilla_4_mqt.py,2,0.24109472286809333
qft_6_mqt.py,1,0.11637855670609322
qft_6_mqt.py,2,0.09974431557413006
dj_indep_4_mqt.py,1,0.15202100319119355
dj_indep_4_mqt.py,2,0.14286805723239807
grover_9_vq.py,1,0.18156554973003824
grover_9_vq.py,2,0.21386622583915063
vqe_indep_5_mqt.py,1,0.14929983524824433
vqe_indep_5_mqt.py,2,0.09779143136845392
qaoa_indep_4_mqt.py,1,0.12325626642161165
qaoa_indep_4_mqt.py,2,0.16469027794357446
vqe_indep_3_mqt.py,1,0.08862562140956062
vqe_indep_3_mqt.py,2,0.11022295960921016
dj_indep_5_mqt.py,1,0.07791895573986948
dj_indep_5_mqt.py,2,0.17109987362527734
adder_n7_vq.py,1,0.16793523040754557
adder_n7_vq.py,2,0.1760415617126165
adder_n10_vq.py,1,0.2646484986180602
adder_n10_vq.py,2,0.5353596126990237
pe_7_mqt.py,1,0.2514482915443384
pe_7_mqt.py,2,0.17886716989441187
