Circuito,Ejecucion,Hellinger,Jensen-Shannon
qwalk-v-chain_5_mqt.py,1,0.13407711779865453,0.13356195547848362
qwalk-v-chain_5_mqt.py,2,0.1386314069856294,0.13804539800405258
3_17tc_vq.py,1,0.08678236464241222,0.08630530449255559
3_17tc_vq.py,2,0.07869378053939796,0.078338044658633
tsp_indep_4_mqt.py,1,0.12942776323370628,0.12838770795081572
tsp_indep_4_mqt.py,2,0.08132102977123333,0.08112112291688095
shor_mod21_mqt.py,1,0.08990794426927752,0.08973960171406054
shor_mod21_mqt.py,2,0.03935360197085166,0.03934198100566576
qwalk-noancilla_3_mqt.py,1,0.20123846132628315,0.20005700713927024
qwalk-noancilla_3_mqt.py,2,0.13628231340959598,0.13591527193122183
bv_3_vq.py,1,0.059357759557783704,0.058695814763382294
bv_3_vq.py,2,0.03858918047343532,0.038443310901940676
bv_5_vq.py,1,0.12377511952041695,0.12170103357657823
bv_5_vq.py,2,0.15196712889949748,0.1502685605409646
qwalk-v-chain_3_mqt.py,1,0.33333050926837693,0.3294485296540339
qwalk-v-chain_3_mqt.py,2,0.27816851150140565,0.27569594132637026
grover-noancilla_3_mqt.py,1,0.08994827697744999,0.0893068328543578
grover-noancilla_3_mqt.py,2,0.08430920963434901,0.0837128726870206
su2_5_vq.py,1,0.1699717578663146,0.16364696538430965
su2_5_vq.py,2,0.10567235660158247,0.10290579625225861
dj_indep_7_mqt.py,1,0.3911709261204668,0.37908075228845267
dj_indep_7_mqt.py,2,0.1649399330840515,0.16259519750667492
adder_n4_vq.py,1,0.08812535311370136,0.08648101295849223
adder_n4_vq.py,2,0.09982459424258569,0.09868135062772705
pe_3_mqt.py,1,0.10073088892690278,0.0998671705614286
pe_3_mqt.py,2,0.08122995104330329,0.08092097375300368
grover-v-chain_4_mqt.py,1,0.2201953574503198,0.2186727783275788
grover-v-chain_4_mqt.py,2,0.22612430422451943,0.22448530560819324
simon_vq.py,1,0.0163229302692997,0.016322313099631097
simon_vq.py,2,0.03775392381134519,0.03774661189219235
shor_mod15_mqt.py,1,0.6018598952540596,0.5718853347815063
shor_mod15_mqt.py,2,0.163076611001527,0.15892968507870053
su2random_3_mqt.py,1,0.030872570172125566,0.03086991115076743
su2random_3_mqt.py,2,0.026697103894248796,0.026695246618047383
vqe_indep_4_mqt.py,1,0.15827356847908178,0.15426106557007951
