Fecha_Hora;Job_ID;Circuito_Nombre;Layout_Circuito;Layout_Centinela;Modo_Centinela;Shots_Totales;Shots_Validos;Supervivencia_(%)
2026-09-21 12:46:31;Simulacion;qwalk-v-chain_3_mqt.py;[3- 2- 1];[16];dynamic_t1;10000;8104;81.04
2026-09-21 12:46:31;Simulacion;shor_mod21_mqt.py;[142- 143- 136- 123- 122- 121- 116- 101];[144];dynamic_t1;10000;8104;81.04
2026-09-21 12:46:31;Simulacion;grover_3_vq.py;[87- 88- 89];[86];dynamic_t1;10000;8104;81.04
2026-09-21 12:46:31;Simulacion;qft_7_vq.py;[36- 41- 42- 43- 44- 45- 37];[40];dynamic_t1;10000;8104;81.04
2026-09-21 12:46:31;Simulacion;tsp_indep_4_mqt.py;[75- 59- 55- 54];[74];dynamic_t1;10000;8104;81.04
2026-09-21 12:46:31;Simulacion;dj_indep_7_mqt.py;[131- 130- 129- 118- 109- 110- 111];[132];dynamic_t1;10000;8104;81.04
2026-09-21 12:46:31;Simulacion;pe_4_mqt.py;[13- 14- 15- 19];[35];dynamic_t1;10000;8104;81.04
2026-09-21 12:46:31;Simulacion;qft_3_vq.py;[115- 99- 95];[94];dynamic_t1;10000;8104;81.04
2026-09-21 12:46:31;Simulacion;qft_2_mqt.py;[154- 155];[153];dynamic_t1;10000;8104;81.04
2026-09-21 12:46:36;Simulacion;su2_5_vq.py;[142- 143- 144- 145];[141];dynamic_t1;10000;8205;82.05
2026-09-21 12:46:36;Simulacion;simon_vq.py;[1- 2- 3- 16- 23- 22];[24];dynamic_t1;10000;8205;82.05
2026-09-21 12:46:36;Simulacion;bv_5_vq.py;[87- 86- 85- 84- 83];[88];dynamic_t1;10000;8205;82.05
2026-09-21 12:46:36;Simulacion;bv_4_vq.py;[75- 59- 55- 54];[74];dynamic_t1;10000;8205;82.05
2026-09-21 12:46:36;Simulacion;grover-noancilla_4_mqt.py;[131- 130- 129- 128];[127];dynamic_t1;10000;8205;82.05
2026-09-21 12:46:36;Simulacion;qft_3_mqt.py;[15- 14- 13];[19];dynamic_t1;10000;8205;82.05
2026-09-21 12:46:36;Simulacion;bv_3_vq.py;[115- 114- 113];[112];dynamic_t1;10000;8205;82.05
2026-09-21 12:46:36;Simulacion;pe_2_vq.py;[154- 155- 139];[135];dynamic_t1;10000;8205;82.05
2026-09-21 12:46:44;Simulacion;pe_6_vq.py;[36- 21- 22- 23- 16- 3- 2];[1];dynamic_t1;10000;8710;87.10
2026-09-21 12:46:44;Simulacion;pe_5_vq.py;[101- 102- 103- 96- 83- 84];[116];dynamic_t1;10000;8710;87.10
2026-09-21 12:46:44;Simulacion;tsp_indep_5_mqt.py;[147- 137- 127- 126- 125];[148];dynamic_t1;10000;8710;87.10
2026-09-21 12:46:44;Simulacion;3_17tc_vq.py;[142- 141- 140];[143];dynamic_t1;10000;8710;87.10
2026-09-21 12:46:44;Simulacion;bv_9_vq.py;[13- 14- 15- 19- 35- 34- 33- 32- 31];[39];dynamic_t1;10000;8710;87.10
2026-09-21 12:46:44;Simulacion;su2random_3_mqt.py;[75- 74- 73];[59];dynamic_t1;10000;8710;87.10
2026-09-21 12:46:44;Simulacion;qft_4_mqt.py;[115- 114- 113- 112];[111];dynamic_t1;10000;8710;87.10
2026-09-21 12:46:50;Simulacion;grover_7_vq.py;[36- 21- 22- 23- 16- 3- 2];[1];dynamic_t1;10000;6532;65.32
2026-09-21 12:46:50;Simulacion;tsp_indep_4_mqt.py;[142- 143- 144- 145];[141];dynamic_t1;10000;6532;65.32
2026-09-21 12:46:51;Simulacion;dj_indep_4_mqt.py;[87- 86- 85- 84];[83];dynamic_t1;10000;6532;65.32
2026-09-21 12:46:51;Simulacion;qaoa_indep_3_mqt.py;[75- 59- 55];[54];dynamic_t1;10000;6532;65.32
2026-09-21 12:46:51;Simulacion;adder_n4_vq.py;[130- 129- 128- 127];[131];dynamic_t1;10000;6532;65.32
2026-09-21 12:46:51;Simulacion;qwalk-v-chain_3_mqt.py;[15- 14- 13];[19];dynamic_t1;10000;6532;65.32
2026-09-21 12:46:51;Simulacion;qwalk-v-chain_5_mqt.py;[115- 99- 95- 94- 93];[92];dynamic_t1;10000;6532;65.32
2026-09-21 12:46:51;Simulacion;grover-v-chain_3_mqt.py;[154- 155- 139];[135];dynamic_t1;10000;6532;65.32
2026-09-21 12:46:57;Simulacion;shor_mod15_mqt.py;[1- 2- 3- 16- 23];[24];dynamic_t1;10000;7252;72.52
2026-09-21 12:46:57;Simulacion;shor_mod21_mqt.py;[142- 143- 136- 123- 122- 121- 116- 101];[144];dynamic_t1;10000;7252;72.52
2026-09-21 12:46:57;Simulacion;vqe_indep_4_mqt.py;[87- 86- 85- 84];[83];dynamic_t1;10000;7252;72.52
2026-09-21 12:46:57;Simulacion;tsp_indep_5_mqt.py;[127- 128- 129- 130- 131];[132];dynamic_t1;10000;7252;72.52
2026-09-21 12:46:57;Simulacion;grover-noancilla_3_mqt.py;[75- 59- 55];[54];dynamic_t1;10000;7252;72.52
2026-09-21 12:46:57;Simulacion;grover-v-chain_4_mqt.py;[13- 14- 15- 19];[35];dynamic_t1;10000;7252;72.52
2026-09-21 12:46:57;Simulacion;pe_5_mqt.py;[115- 99- 95- 94- 93];[92];dynamic_t1;10000;7252;72.52
2026-09-21 12:46:57;Simulacion;bv_2_vq.py;[154- 155];[153];dynamic_t1;10000;7252;72.52
2026-09-21 12:47:01;Simulacion;qwalk-noancilla_3_mqt.py;[3- 2- 1];[16];dynamic_t1;10000;7775;77.75
2026-09-21 12:47:01;Simulacion;qaoa_indep_5_mqt.py;[36- 41- 42- 43- 44];[45];dynamic_t1;10000;7775;77.75
2026-09-21 12:47:01;Simulacion;qwalk-noancilla_3_mqt.py;[147- 137- 127];[148];dynamic_t1;10000;7775;77.75
2026-09-21 12:47:01;Simulacion;simon_vq.py;[101- 102- 103- 96- 83- 84];[116];dynamic_t1;10000;7775;77.75
2026-09-21 12:47:01;Simulacion;grover_9_vq.py;[13- 14- 15- 19- 35- 34- 33- 32- 31];[39];dynamic_t1;10000;7775;77.75
2026-09-21 12:47:01;Simulacion;3_17tc_vq.py;[142- 141- 140];[143];dynamic_t1;10000;7775;77.75
2026-09-21 12:47:01;Simulacion;pe_6_mqt.py;[75- 74- 73- 79- 93- 92];[59];dynamic_t1;10000;7775;77.75
2026-09-21 12:47:01;Simulacion;qft_6_mqt.py;[115- 114- 113- 119- 133- 132];[131];dynamic_t1;10000;7775;77.75
2026-09-21 12:47:05;Simulacion;su2random_3_mqt.py;[3- 2- 1];[16];dynamic_t1;10000;7445;74.45
2026-09-21 12:47:05;Simulacion;kickback_7_vq.py;[36- 41- 42- 43- 44- 45- 37];[40];dynamic_t1;10000;7445;74.45
2026-09-21 12:47:05;Simulacion;su2_5_vq.py;[142- 143- 144- 145];[141];dynamic_t1;10000;7445;74.45
2026-09-21 12:47:05;Simulacion;qaoa_indep_3_mqt.py;[101- 116- 121];[102];dynamic_t1;10000;7445;74.45
2026-09-21 12:47:05;Simulacion;pe_3_mqt.py;[75- 59- 55];[54];dynamic_t1;10000;7445;74.45
2026-09-21 12:47:05;Simulacion;qwalk-v-chain_5_mqt.py;[127- 128- 129- 130- 131];[132];dynamic_t1;10000;7445;74.45
2026-09-21 12:47:05;Simulacion;vqe_indep_3_mqt.py;[88- 87- 86];[97];dynamic_t1;10000;7445;74.45
2026-09-21 12:47:05;Simulacion;vqe_indep_4_mqt.py;[13- 14- 15- 19];[35];dynamic_t1;10000;7445;74.45
2026-09-21 12:47:05;Simulacion;qaoa_indep_5_mqt.py;[115- 99- 95- 94- 93];[92];dynamic_t1;10000;7445;74.45
2026-09-21 12:47:05;Simulacion;bv_2_vq.py;[154- 155];[153];dynamic_t1;10000;7445;74.45
2026-09-21 12:47:09;Simulacion;qaoa_indep_4_mqt.py;[142- 143- 144- 145];[141];dynamic_t1;10000;7591;75.91
2026-09-21 12:47:09;Simulacion;vqe_indep_5_mqt.py;[1- 2- 3- 16- 23];[24];dynamic_t1;10000;7591;75.91
2026-09-21 12:47:09;Simulacion;qaoa_indep_4_mqt.py;[87- 86- 85- 84];[83];dynamic_t1;10000;7591;75.91
