Circuito,Ejecucion,Jensen-Shannon
qwalk-v-chain_3_mqt.py,1,0.2369179343222904
qwalk-v-chain_3_mqt.py,2,0.2365639437162488
shor_mod21_mqt.py,1,0.11990477644285394
shor_mod21_mqt.py,2,0.06600854967283772
grover_3_vq.py,1,0.12886232713059775
grover_3_vq.py,2,0.07900739322208948
qft_7_vq.py,1,0.24655674420742937
qft_7_vq.py,2,0.14523188732832906
tsp_indep_4_mqt.py,1,0.11415881086411668
tsp_indep_4_mqt.py,2,0.11592125234533329
dj_indep_7_mqt.py,1,0.30969496302833693
dj_indep_7_mqt.py,2,0.2791892684565102
pe_4_mqt.py,1,0.19441618117713488
pe_4_mqt.py,2,0.20387675705291786
qft_3_vq.py,1,0.10526382382383385
qft_3_vq.py,2,0.13681196421874492
qft_2_mqt.py,1,0.10334527671687989
qft_2_mqt.py,2,0.09910149661071048
su2_5_vq.py,1,0.11759389869217964
su2_5_vq.py,2,0.12378556787862771
simon_vq.py,1,0.022571103478919042
simon_vq.py,2,0.1210871916523195
bv_5_vq.py,1,0.2165187717562502
bv_5_vq.py,2,0.2051881050522963
bv_4_vq.py,1,0.11618614318973822
bv_4_vq.py,2,0.0938229347467441
grover-noancilla_4_mqt.py,1,0.12681709589665432
grover-noancilla_4_mqt.py,2,0.1223846326882795
qft_3_mqt.py,1,0.09656352148108178
qft_3_mqt.py,2,0.09645990798881346
bv_3_vq.py,1,0.12157553349481573
bv_3_vq.py,2,0.03894217686100024
pe_2_vq.py,1,0.05689439240192048
pe_2_vq.py,2,0.10656126506788528
pe_6_vq.py,1,0.20325233714289165
pe_6_vq.py,2,0.18304989521070825
pe_5_vq.py,1,0.5354221709456488
pe_5_vq.py,2,0.10908818680125995
tsp_indep_5_mqt.py,1,0.08219695189014604
tsp_indep_5_mqt.py,2,0.07699640899382287
3_17tc_vq.py,1,0.12913074620845444
3_17tc_vq.py,2,0.1249108551264921
bv_9_vq.py,1,0.5760377014328919
bv_9_vq.py,2,0.3514457347296646
su2random_3_mqt.py,1,0.014390312133871628
su2random_3_mqt.py,2,0.03429142501157861
qft_4_mqt.py,1,0.13722138250802934
qft_4_mqt.py,2,0.16767779036097114
grover_7_vq.py,1,0.16399789065359907
grover_7_vq.py,2,0.1134990944410972
dj_indep_4_mqt.py,1,0.08991508099857841
dj_indep_4_mqt.py,2,0.10298188581423438
qaoa_indep_3_mqt.py,1,0.1335152239556578
qaoa_indep_3_mqt.py,2,0.10662991355881919
adder_n4_vq.py,1,0.1606354920427603
adder_n4_vq.py,2,0.06674629998665702
qwalk-v-chain_5_mqt.py,1,0.0794483967338466
qwalk-v-chain_5_mqt.py,2,0.09158778553937519
grover-v-chain_3_mqt.py,1,0.13351820518460092
grover-v-chain_3_mqt.py,2,0.09699106557951788
shor_mod15_mqt.py,1,0.1980438629609308
shor_mod15_mqt.py,2,0.09113722323456956
vqe_indep_4_mqt.py,1,0.12041529187099904
vqe_indep_4_mqt.py,2,0.11543614944351517
grover-noancilla_3_mqt.py,1,0.11071496526337614
grover-noancilla_3_mqt.py,2,0.1053408881211312
grover-v-chain_4_mqt.py,1,0.22274125681846033
grover-v-chain_4_mqt.py,2,0.2503601842728131
pe_5_mqt.py,1,0.28941032144880935
pe_5_mqt.py,2,0.22410743429074348
bv_2_vq.py,1,0.05806146415809946
bv_2_vq.py,2,0.05634609525858894
qwalk-noancilla_3_mqt.py,1,0.21655437978322836
qwalk-noancilla_3_mqt.py,2,0.182553870239877
qaoa_indep_5_mqt.py,1,0.10037800146126802
qaoa_indep_5_mqt.py,2,0.1006789771927169
grover_9_vq.py,1,0.4538790309401621
grover_9_vq.py,2,0.1817562991805614
pe_6_mqt.py,1,0.17705546332760597
pe_6_mqt.py,2,0.19911899434951277
qft_6_mqt.py,1,0.12774236835388633
qft_6_mqt.py,2,0.14751149280400472
kickback_7_vq.py,1,0.0007711642773116973
kickback_7_vq.py,2,0.008212999045053187
pe_3_mqt.py,1,0.12781893993244847
pe_3_mqt.py,2,0.15495615687121383
vqe_indep_3_mqt.py,1,0.08072900331682566
vqe_indep_3_mqt.py,2,0.10075594367222507
qaoa_indep_4_mqt.py,1,0.17200145249219434
qaoa_indep_4_mqt.py,2,0.13669579829579767
vqe_indep_5_mqt.py,1,0.10167656931167336
vqe_indep_5_mqt.py,2,0.13104533085001105
adder_n10_vq.py,1,0.2378691498696984
adder_n10_vq.py,2,0.21765163243253755
dj_indep_5_mqt.py,1,0.08639872304870201
dj_indep_5_mqt.py,2,0.5858361026442013
adder_n7_vq.py,1,0.14455015079019076
adder_n7_vq.py,2,0.1082355178589346
pe_7_mqt.py,1,0.17064558445523775
pe_7_mqt.py,2,0.2701661463134679
