Circuito,Ejecucion,Hellinger
bv_5_vq.py,1,0.2717860194320019
bv_5_vq.py,2,0.5460751491257455
dj_indep_7_mqt.py,1,0.25638635703919543
dj_indep_7_mqt.py,2,0.33731540889701017
bv_9_vq.py,1,0.36491202372611414
bv_9_vq.py,2,0.6789944437721073
3_17tc_vq.py,1,0.08050119619715247
3_17tc_vq.py,2,0.18488725652703167
vqe_indep_4_mqt.py,1,0.34790176135969936
vqe_indep_4_mqt.py,2,0.41979432378005443
su2random_3_mqt.py,1,0.054766863709172275
su2random_3_mqt.py,2,0.025707098349257034
qft_3_vq.py,1,0.10575369790257995
qft_3_vq.py,2,0.11827579654701458
tsp_indep_5_mqt.py,1,0.09162037941492687
tsp_indep_5_mqt.py,2,0.10237976479580803
grover-noancilla_4_mqt.py,1,0.10356472996870153
grover-noancilla_4_mqt.py,2,0.10412525923404618
qft_2_mqt.py,1,0.14294635363719563
qft_2_mqt.py,2,0.12289800456474993
pe_5_vq.py,1,0.16874704599189772
pe_5_vq.py,2,0.3073261205723817
qaoa_indep_3_mqt.py,1,0.19934237591846252
qaoa_indep_3_mqt.py,2,0.2725700422211284
kickback_7_vq.py,1,0.0005264345733140777
kickback_7_vq.py,2,0.0020697577312583063
pe_6_mqt.py,1,0.214799581076459
pe_6_mqt.py,2,0.4393393547657224
qft_6_mqt.py,1,0.11854730308846782
qft_6_mqt.py,2,0.10749618837816763
simon_vq.py,1,0.015970756041828797
simon_vq.py,2,0.03949200036461804
bv_2_vq.py,1,0.4679327943354
bv_2_vq.py,2,0.11163714230784964
pe_2_vq.py,1,0.09508792742257659
pe_2_vq.py,2,0.4564848415310923
qft_7_vq.py,1,0.34467958955582095
qft_7_vq.py,2,0.2695859978645495
qft_4_mqt.py,1,0.19043802514206185
qft_4_mqt.py,2,0.16226239265807108
qwalk-v-chain_3_mqt.py,1,0.21438336231169788
qwalk-v-chain_3_mqt.py,2,0.26953770562565715
adder_n4_vq.py,1,0.13294736622229877
adder_n4_vq.py,2,0.08908822111161753
qwalk-noancilla_3_mqt.py,1,0.10585858701846527
qwalk-noancilla_3_mqt.py,2,0.11636111199918543
grover-noancilla_3_mqt.py,1,0.3707701852023303
grover-noancilla_3_mqt.py,2,0.5783724723148403
pe_5_mqt.py,1,0.36854526970426105
pe_5_mqt.py,2,0.26135990577794127
su2_5_vq.py,1,0.3079662833044406
su2_5_vq.py,2,0.29877066311172445
grover_3_vq.py,1,0.14056648230851465
grover_3_vq.py,2,0.0560007320967153
qwalk-v-chain_5_mqt.py,1,0.07827583605566388
qwalk-v-chain_5_mqt.py,2,0.059376722054626865
grover_7_vq.py,1,0.11460773470944953
grover_7_vq.py,2,0.11996987325384922
shor_mod15_mqt.py,1,0.17023495978830466
shor_mod15_mqt.py,2,0.15042327278468082
grover-v-chain_4_mqt.py,1,0.19978582705922374
grover-v-chain_4_mqt.py,2,0.2124792115546247
qaoa_indep_5_mqt.py,1,0.3219414698003499
qaoa_indep_5_mqt.py,2,0.3474627690566157
qft_3_mqt.py,1,0.11469962194894268
qft_3_mqt.py,2,0.1420938829241487
pe_3_mqt.py,1,0.17700602916879207
pe_3_mqt.py,2,0.622011314125208
pe_6_vq.py,1,0.40814054426991864
pe_6_vq.py,2,0.19077084912839173
tsp_indep_4_mqt.py,1,0.1325270303358212
tsp_indep_4_mqt.py,2,0.1128625726723975
grover_9_vq.py,1,0.3812099882354991
grover_9_vq.py,2,0.49271867562601845
grover-v-chain_3_mqt.py,1,0.5985767978967448
grover-v-chain_3_mqt.py,2,0.23541339012968213
dj_indep_4_mqt.py,1,0.5540206504783657
dj_indep_4_mqt.py,2,0.5420530547597776
pe_4_mqt.py,1,0.23458343003893475
pe_4_mqt.py,2,0.5534537008755188
shor_mod21_mqt.py,1,0.09128675553001671
shor_mod21_mqt.py,2,0.037444169973442486
bv_4_vq.py,1,0.556713061076445
bv_4_vq.py,2,0.6794317224144095
bv_3_vq.py,1,0.628448686016416
bv_3_vq.py,2,0.4638852249728873
qaoa_indep_4_mqt.py,1,0.44803901969404375
qaoa_indep_4_mqt.py,2,0.4253635031953056
vqe_indep_3_mqt.py,1,0.3754275920428241
vqe_indep_3_mqt.py,2,0.3207843249300449
vqe_indep_5_mqt.py,1,0.35341008349030884
vqe_indep_5_mqt.py,2,0.5166429410987097
dj_indep_5_mqt.py,1,0.4644804011505629
dj_indep_5_mqt.py,2,0.2832555689939544
adder_n10_vq.py,1,0.24633773072064113
adder_n10_vq.py,2,0.5119775372332869
adder_n7_vq.py,1,0.19597294816474817
adder_n7_vq.py,2,0.1779325348430932
pe_7_mqt.py,1,0.13258407650829251
pe_7_mqt.py,2,0.14287687231230728
