Circuito,Ejecucion,Jensen-Shannon
bv_5_vq.py,1,0.2639034280081482
bv_5_vq.py,2,0.5212299777049689
dj_indep_7_mqt.py,1,0.25046630165818795
dj_indep_7_mqt.py,2,0.3297940456449417
bv_9_vq.py,1,0.34333727542425013
bv_9_vq.py,2,0.618552585607993
3_17tc_vq.py,1,0.08019435139982443
3_17tc_vq.py,2,0.18092455390090478
vqe_indep_4_mqt.py,1,0.33525672207210666
vqe_indep_4_mqt.py,2,0.4052951583664416
su2random_3_mqt.py,1,0.05474880997643272
su2random_3_mqt.py,2,0.025704758862691655
qft_3_vq.py,1,0.10547931482170624
qft_3_vq.py,2,0.11782705372299539
tsp_indep_5_mqt.py,1,0.09148298321014305
tsp_indep_5_mqt.py,2,0.1022431708842145
grover-noancilla_4_mqt.py,1,0.10335294274228328
grover-noancilla_4_mqt.py,2,0.1038335579469242
qft_2_mqt.py,1,0.1426047989255778
qft_2_mqt.py,2,0.1227354529936482
pe_5_vq.py,1,0.16672273021987355
pe_5_vq.py,2,0.2994908083805411
qaoa_indep_3_mqt.py,1,0.19740902673177785
qaoa_indep_3_mqt.py,2,0.2668682171582256
kickback_7_vq.py,1,0.0005264345611025594
kickback_7_vq.py,2,0.0020697569903697817
pe_6_mqt.py,1,0.21198512282715157
pe_6_mqt.py,2,0.42482534445964937
qft_6_mqt.py,1,0.11819781250589059
qft_6_mqt.py,2,0.10720242480896877
simon_vq.py,1,0.015970040991572516
simon_vq.py,2,0.03948522065665965
bv_2_vq.py,1,0.4403132048921893
bv_2_vq.py,2,0.11029587115772307
pe_2_vq.py,1,0.09412397514539148
pe_2_vq.py,2,0.43287290937100065
qft_7_vq.py,1,0.3365511324165947
qft_7_vq.py,2,0.26561715715250606
qft_4_mqt.py,1,0.18925357386813413
qft_4_mqt.py,2,0.16156122528621128
qwalk-v-chain_3_mqt.py,1,0.21320105992078042
qwalk-v-chain_3_mqt.py,2,0.26649258860226455
adder_n4_vq.py,1,0.13063029349233138
adder_n4_vq.py,2,0.08796848545703992
qwalk-noancilla_3_mqt.py,1,0.10567462312509536
qwalk-noancilla_3_mqt.py,2,0.1161384064054674
grover-noancilla_3_mqt.py,1,0.35851190064636046
grover-noancilla_3_mqt.py,2,0.5569773828954857
pe_5_mqt.py,1,0.3630895057458915
pe_5_mqt.py,2,0.25588526957109714
su2_5_vq.py,1,0.2962775350062854
su2_5_vq.py,2,0.28594413222864984
grover_3_vq.py,1,0.13915560562995027
grover_3_vq.py,2,0.05596374606851638
qwalk-v-chain_5_mqt.py,1,0.07817799565541221
qwalk-v-chain_5_mqt.py,2,0.0593368788714803
grover_7_vq.py,1,0.11238245032962571
grover_7_vq.py,2,0.11910536532480934
shor_mod15_mqt.py,1,0.16820427910259883
shor_mod15_mqt.py,2,0.14873682362722748
grover-v-chain_4_mqt.py,1,0.19823922916783474
grover-v-chain_4_mqt.py,2,0.21104719498173244
qaoa_indep_5_mqt.py,1,0.3158366989061056
qaoa_indep_5_mqt.py,2,0.3406050444167492
qft_3_mqt.py,1,0.11447533687541728
qft_3_mqt.py,2,0.14164482578139925
pe_3_mqt.py,1,0.17557984311314814
pe_3_mqt.py,2,0.5908874729440313
pe_6_vq.py,1,0.3999688100287983
pe_6_vq.py,2,0.18863205201860728
tsp_indep_4_mqt.py,1,0.13189231873421675
tsp_indep_4_mqt.py,2,0.11240556140090341
grover_9_vq.py,1,0.3614985074947469
grover_9_vq.py,2,0.4651222976864156
grover-v-chain_3_mqt.py,1,0.5741559820727778
grover-v-chain_3_mqt.py,2,0.23282475645568373
dj_indep_4_mqt.py,1,0.5336529892954025
dj_indep_4_mqt.py,2,0.5231997193743124
pe_4_mqt.py,1,0.2303806414192146
pe_4_mqt.py,2,0.5294098339298703
shor_mod21_mqt.py,1,0.0911427377242112
shor_mod21_mqt.py,2,0.0374343914658874
bv_4_vq.py,1,0.5343534419330025
bv_4_vq.py,2,0.6326103148170811
bv_3_vq.py,1,0.5875853539156878
bv_3_vq.py,2,0.44214402534161784
qaoa_indep_4_mqt.py,1,0.43453157362850614
qaoa_indep_4_mqt.py,2,0.4157164000504363
vqe_indep_3_mqt.py,1,0.3649721450747356
vqe_indep_3_mqt.py,2,0.31384001777718884
vqe_indep_5_mqt.py,1,0.3443490999650386
vqe_indep_5_mqt.py,2,0.4931817485321358
dj_indep_5_mqt.py,1,0.45018689776153026
dj_indep_5_mqt.py,2,0.2735242997616789
adder_n10_vq.py,1,0.2276372033115609
adder_n10_vq.py,2,0.4844053599443539
adder_n7_vq.py,1,0.18756292376938039
adder_n7_vq.py,2,0.16956060639262568
pe_7_mqt.py,1,0.1319684726236504
pe_7_mqt.py,2,0.14220306700973964
