Fecha_Hora;Job_ID;Circuito_Nombre;Layout_Circuito;Layout_Centinela;Modo_Centinela;Shots_Totales;Shots_Validos;Supervivencia_(%)
2026-09-21 12:50:28;Simulacion;pe_6_vq.py;[36- 21- 22- 23- 16- 3- 2];[1];dynamic_local_t1;10000;9789;97.89
2026-09-21 12:50:28;Simulacion;tsp_indep_4_mqt.py;[142- 143- 144- 145];[141];dynamic_local_t1;10000;9261;92.61
2026-09-21 12:50:28;Simulacion;dj_indep_4_mqt.py;[87- 86- 85- 84];[83];dynamic_local_t1;10000;8224;82.24
2026-09-21 12:50:28;Simulacion;simon_vq.py;[131- 130- 129- 128- 127- 126];[132];dynamic_local_t1;10000;9384;93.84
2026-09-21 12:50:28;Simulacion;pe_3_mqt.py;[75- 59- 55];[54];dynamic_local_t1;10000;9443;94.43
2026-09-21 12:50:28;Simulacion;vqe_indep_4_mqt.py;[13- 14- 15- 19];[35];dynamic_local_t1;10000;9107;91.07
2026-09-21 12:50:28;Simulacion;qft_3_mqt.py;[115- 99- 95];[94];dynamic_local_t1;10000;9392;93.92
2026-09-21 12:50:28;Simulacion;qft_2_mqt.py;[154- 155];[153];dynamic_local_t1;10000;9186;91.86
2026-09-21 12:50:35;Simulacion;qwalk-noancilla_3_mqt.py;[3- 2- 1];[16];dynamic_local_t1;10000;9949;99.49
2026-09-21 12:50:35;Simulacion;bv_4_vq.py;[142- 143- 144- 145];[141];dynamic_local_t1;10000;9214;92.14
2026-09-21 12:50:35;Simulacion;grover-noancilla_3_mqt.py;[101- 116- 121];[102];dynamic_local_t1;10000;9067;90.67
2026-09-21 12:50:35;Simulacion;3_17tc_vq.py;[87- 88- 89];[86];dynamic_local_t1;10000;8882;88.82
2026-09-21 12:50:35;Simulacion;pe_4_mqt.py;[36- 41- 42- 43];[40];dynamic_local_t1;10000;9625;96.25
2026-09-21 12:50:36;Simulacion;shor_mod21_mqt.py;[127- 128- 129- 118- 109- 110- 111- 112];[130];dynamic_local_t1;10000;9623;96.23
2026-09-21 12:50:36;Simulacion;qaoa_indep_3_mqt.py;[75- 59- 55];[54];dynamic_local_t1;10000;9576;95.76
2026-09-21 12:50:36;Simulacion;pe_5_mqt.py;[13- 14- 15- 19- 35];[34];dynamic_local_t1;10000;9663;96.63
2026-09-21 12:50:36;Simulacion;grover-v-chain_4_mqt.py;[135- 139- 155- 154];[134];dynamic_local_t1;10000;9540;95.40
2026-09-21 12:50:41;Simulacion;qwalk-v-chain_5_mqt.py;[1- 2- 3- 16- 23];[24];dynamic_local_t1;10000;9953;99.53
2026-09-21 12:50:41;Simulacion;grover_9_vq.py;[142- 143- 136- 123- 122- 121- 116- 101- 102];[144];dynamic_local_t1;10000;8106;81.06
2026-09-21 12:50:41;Simulacion;qft_6_mqt.py;[13- 14- 15- 19- 35- 34];[33];dynamic_local_t1;10000;7519;75.19
2026-09-21 12:50:41;Simulacion;grover-v-chain_3_mqt.py;[87- 88- 89];[86];dynamic_local_t1;10000;6046;60.46
2026-09-21 12:50:41;Simulacion;su2_5_vq.py;[127- 128- 129- 130];[131];dynamic_local_t1;10000;7310;73.10
2026-09-21 12:50:41;Simulacion;3_17tc_vq.py;[75- 74- 73];[59];dynamic_local_t1;10000;8107;81.07
2026-09-21 12:50:41;Simulacion;qwalk-v-chain_3_mqt.py;[115- 114- 113];[112];dynamic_local_t1;10000;7224;72.24
2026-09-21 12:50:44;Simulacion;simon_vq.py;[1- 2- 3- 16- 23- 22];[24];dynamic_local_t1;10000;9930;99.30
2026-09-21 12:50:44;Simulacion;bv_9_vq.py;[142- 143- 136- 123- 122- 121- 116- 101- 102];[144];dynamic_local_t1;10000;9953;99.53
2026-09-21 12:50:44;Simulacion;qwalk-v-chain_3_mqt.py;[87- 88- 89];[86];dynamic_local_t1;10000;9974;99.74
2026-09-21 12:50:44;Simulacion;qaoa_indep_5_mqt.py;[127- 128- 129- 130- 131];[132];dynamic_local_t1;10000;9282;92.82
2026-09-21 12:50:44;Simulacion;qft_3_vq.py;[75- 59- 55];[54];dynamic_local_t1;10000;9454;94.54
