Circuito,Ejecucion,Hellinger
pe_6_vq.py,1,0.20322069883428107
pe_6_vq.py,2,0.17646759380506977
tsp_indep_4_mqt.py,1,0.42234422735894006
tsp_indep_4_mqt.py,2,0.21988285354897594
dj_indep_4_mqt.py,1,0.5754152008076611
dj_indep_4_mqt.py,2,0.3721347280458869
simon_vq.py,1,0.03447686105921965
simon_vq.py,2,0.023702155976103017
pe_3_mqt.py,1,0.5262553467800325
pe_3_mqt.py,2,0.13429282308462673
vqe_indep_4_mqt.py,1,0.6747648876385766
vqe_indep_4_mqt.py,2,0.22991144511584025
qft_3_mqt.py,1,0.11708294050189517
qft_3_mqt.py,2,0.10081571525192745
qft_2_mqt.py,1,0.1516999293405681
qft_2_mqt.py,2,0.14248639795617574
qwalk-noancilla_3_mqt.py,1,0.14455646035410105
qwalk-noancilla_3_mqt.py,2,0.13056242887562008
bv_4_vq.py,1,0.7433017664360538
bv_4_vq.py,2,0.2724038282148051
grover-noancilla_3_mqt.py,1,0.3245427480603187
grover-noancilla_3_mqt.py,2,0.3435473838318728
3_17tc_vq.py,1,0.1393524573465463
3_17tc_vq.py,2,0.2762047192047729
pe_4_mqt.py,1,0.47432410500892547
pe_4_mqt.py,2,0.5253297903914226
shor_mod21_mqt.py,1,0.02979112597098624
shor_mod21_mqt.py,2,0.017267400057562388
qaoa_indep_3_mqt.py,1,0.2698022638096157
qaoa_indep_3_mqt.py,2,0.16286173689880035
pe_5_mqt.py,1,0.3439947339607192
pe_5_mqt.py,2,0.3869485954781477
grover-v-chain_4_mqt.py,1,0.19301891691781223
grover-v-chain_4_mqt.py,2,0.2553923263024618
qwalk-v-chain_5_mqt.py,1,0.11322748894366233
qwalk-v-chain_5_mqt.py,2,0.10997149678243373
grover_9_vq.py,1,0.27778256369467097
grover_9_vq.py,2,0.24029443048206675
qft_6_mqt.py,1,0.17720624487584868
qft_6_mqt.py,2,0.1382743273077843
grover-v-chain_3_mqt.py,1,0.5475081683156494
grover-v-chain_3_mqt.py,2,0.5439978771320607
su2_5_vq.py,1,0.3637427137175376
su2_5_vq.py,2,0.16344700126594514
qwalk-v-chain_3_mqt.py,1,0.1095536026122067
qwalk-v-chain_3_mqt.py,2,0.19230274659548494
bv_9_vq.py,1,0.38543287843488927
bv_9_vq.py,2,0.573415098178356
qaoa_indep_5_mqt.py,1,0.30847509935977246
qaoa_indep_5_mqt.py,2,0.17841932472765282
qft_3_vq.py,1,0.10577134268571176
qft_3_vq.py,2,0.11339096988230196
su2random_3_mqt.py,1,0.04803921962219646
su2random_3_mqt.py,2,0.062421806148376176
shor_mod15_mqt.py,1,0.09772045521310987
shor_mod15_mqt.py,2,0.6077744831627923
grover_7_vq.py,1,0.14158528566800296
grover_7_vq.py,2,0.12516608023425382
bv_5_vq.py,1,0.6630933280721085
bv_5_vq.py,2,0.6886077240732631
kickback_7_vq.py,1,0.004836031500170633
kickback_7_vq.py,2,0.01993549075798656
pe_5_vq.py,1,0.236059002692033
pe_5_vq.py,2,0.20538988915932574
bv_2_vq.py,1,0.11285719691104117
bv_2_vq.py,2,0.6900207170251538
bv_3_vq.py,1,0.33199704712105244
bv_3_vq.py,2,0.6084370927296733
qft_4_mqt.py,1,0.1955169462035188
qft_4_mqt.py,2,0.1979357549490451
adder_n4_vq.py,1,0.0898006609037902
adder_n4_vq.py,2,0.17752809970697656
pe_6_mqt.py,1,0.2733045317559311
pe_6_mqt.py,2,0.5066056370578363
tsp_indep_5_mqt.py,1,0.12308861561757788
tsp_indep_5_mqt.py,2,0.07351689031402536
qft_7_vq.py,1,0.18538574673562253
qft_7_vq.py,2,0.256652891216527
grover-noancilla_4_mqt.py,1,0.197559472109365
grover-noancilla_4_mqt.py,2,0.21259529837034483
dj_indep_7_mqt.py,1,0.5806461654295506
dj_indep_7_mqt.py,2,0.2838170985447593
grover_3_vq.py,1,0.11563706508362737
grover_3_vq.py,2,0.1038226115267872
pe_2_vq.py,1,0.47977445790187623
pe_2_vq.py,2,0.6108021528976041
vqe_indep_3_mqt.py,1,0.12947723265619693
vqe_indep_3_mqt.py,2,0.22185864054897556
qaoa_indep_4_mqt.py,1,0.07949282880363594
qaoa_indep_4_mqt.py,2,0.3436120341055393
dj_indep_5_mqt.py,1,0.23145091358771958
dj_indep_5_mqt.py,2,0.45647076895991046
vqe_indep_5_mqt.py,1,0.4379610278931452
vqe_indep_5_mqt.py,2,0.2324606271197549
adder_n7_vq.py,1,0.14316303270399489
adder_n7_vq.py,2,0.1659012991535203
adder_n10_vq.py,1,0.42488635805376573
adder_n10_vq.py,2,0.21726142930494627
pe_7_mqt.py,1,0.14725588484425395
pe_7_mqt.py,2,0.1474958874940823
