Circuito,Ejecucion,Jensen-Shannon
pe_6_vq.py,1,0.20100231472768648
pe_6_vq.py,2,0.17470903940234492
tsp_indep_4_mqt.py,1,0.40807721846500017
tsp_indep_4_mqt.py,2,0.21798701787450736
dj_indep_4_mqt.py,1,0.5520512165816821
dj_indep_4_mqt.py,2,0.36153874809344294
simon_vq.py,1,0.03446831490529026
simon_vq.py,2,0.023700479182310157
pe_3_mqt.py,1,0.5092512574676482
pe_3_mqt.py,2,0.13340783695398437
vqe_indep_4_mqt.py,1,0.6332619278956274
vqe_indep_4_mqt.py,2,0.2236298778415832
qft_3_mqt.py,1,0.11686491352906066
qft_3_mqt.py,2,0.10065942346869043
qft_2_mqt.py,1,0.15139002549450067
qft_2_mqt.py,2,0.14222392704260198
qwalk-noancilla_3_mqt.py,1,0.1442052412141291
qwalk-noancilla_3_mqt.py,2,0.1302226718328849
bv_4_vq.py,1,0.6826925885620421
bv_4_vq.py,2,0.2659387769994038
grover-noancilla_3_mqt.py,1,0.3165115521405081
grover-noancilla_3_mqt.py,2,0.3351838624829632
3_17tc_vq.py,1,0.13789782623524466
3_17tc_vq.py,2,0.2691300311446436
pe_4_mqt.py,1,0.4582659512859616
pe_4_mqt.py,2,0.5025047976925645
shor_mod21_mqt.py,1,0.029787758322820254
shor_mod21_mqt.py,2,0.01726630173087676
qaoa_indep_3_mqt.py,1,0.2653814883377613
qaoa_indep_3_mqt.py,2,0.16230676296693908
pe_5_mqt.py,1,0.33881651838736393
pe_5_mqt.py,2,0.37886241097052903
grover-v-chain_4_mqt.py,1,0.19204330160868818
grover-v-chain_4_mqt.py,2,0.25269530665835366
qwalk-v-chain_5_mqt.py,1,0.11289377927795266
qwalk-v-chain_5_mqt.py,2,0.10955362816645875
grover_9_vq.py,1,0.26480936372630126
grover_9_vq.py,2,0.2299575294635624
qft_6_mqt.py,1,0.17605451313772685
qft_6_mqt.py,2,0.13757035799950934
grover-v-chain_3_mqt.py,1,0.5285191861024707
grover-v-chain_3_mqt.py,2,0.5247854961244269
su2_5_vq.py,1,0.3449300054783786
su2_5_vq.py,2,0.15948243727927286
qwalk-v-chain_3_mqt.py,1,0.10927233366928109
qwalk-v-chain_3_mqt.py,2,0.1912211675640165
bv_9_vq.py,1,0.3646312413782319
bv_9_vq.py,2,0.53244473949172
qaoa_indep_5_mqt.py,1,0.30309257731151773
qaoa_indep_5_mqt.py,2,0.17731416397651836
qft_3_vq.py,1,0.10537287661326829
qft_3_vq.py,2,0.11303557626804316
su2random_3_mqt.py,1,0.0480226539930656
su2random_3_mqt.py,2,0.06238518852432827
shor_mod15_mqt.py,1,0.09713030394029322
shor_mod15_mqt.py,2,0.5781862394037895
grover_7_vq.py,1,0.14081757496586814
grover_7_vq.py,2,0.12429590479771498
bv_5_vq.py,1,0.6232263446398294
bv_5_vq.py,2,0.6409611991692935
kickback_7_vq.py,1,0.004836022065116576
kickback_7_vq.py,2,0.019934823470653992
pe_5_vq.py,1,0.2332223743709147
pe_5_vq.py,2,0.20109794887972676
bv_2_vq.py,1,0.11149993517969335
bv_2_vq.py,2,0.6392963290796375
bv_3_vq.py,1,0.32114933517373256
bv_3_vq.py,2,0.5757254712071093
qft_4_mqt.py,1,0.19403407369698528
qft_4_mqt.py,2,0.1965434300889623
adder_n4_vq.py,1,0.08893386124417435
adder_n4_vq.py,2,0.1725937593719774
pe_6_mqt.py,1,0.2708109498381552
pe_6_mqt.py,2,0.48640834712183545
tsp_indep_5_mqt.py,1,0.12262581833883629
tsp_indep_5_mqt.py,2,0.07345992695458714
qft_7_vq.py,1,0.18395051846151178
qft_7_vq.py,2,0.2530182289377969
grover-noancilla_4_mqt.py,1,0.1963309549106747
grover-noancilla_4_mqt.py,2,0.21069700402534633
dj_indep_7_mqt.py,1,0.5513756890622522
dj_indep_7_mqt.py,2,0.27756057180883803
grover_3_vq.py,1,0.11490687924901172
grover_3_vq.py,2,0.10297675694992922
pe_2_vq.py,1,0.4634696059788851
pe_2_vq.py,2,0.5728641906824371
vqe_indep_3_mqt.py,1,0.12800868164272206
vqe_indep_3_mqt.py,2,0.2179133216496566
qaoa_indep_4_mqt.py,1,0.07924413819323113
qaoa_indep_4_mqt.py,2,0.3389386318230409
dj_indep_5_mqt.py,1,0.22498839957014338
dj_indep_5_mqt.py,2,0.42535163882409227
vqe_indep_5_mqt.py,1,0.42140181699637314
vqe_indep_5_mqt.py,2,0.22770331983458106
adder_n7_vq.py,1,0.13654126095658714
adder_n7_vq.py,2,0.1588389411729076
adder_n10_vq.py,1,0.4017867471039842
adder_n10_vq.py,2,0.20413996515134186
pe_7_mqt.py,1,0.14635872719998355
pe_7_mqt.py,2,0.14661755178298672
