Circuito,Ejecucion,Hellinger
pe_6_mqt.py,1,0.585699908330914
grover-noancilla_4_mqt.py,1,0.5783479851183186
grover-noancilla_4_mqt.py,2,0.5291175281530501
qwalk-noancilla_3_mqt.py,1,0.4804065614903239
qwalk-noancilla_3_mqt.py,2,0.5590281346699845
qaoa_indep_3_mqt.py,1,0.5496844020266595
simon_vq.py,1,0.5495676386863899
simon_vq.py,2,0.16436799527077114
qaoa_indep_4_mqt.py,1,0.48344587202376166
qaoa_indep_4_mqt.py,2,0.22020543712760643
pe_3_mqt.py,1,0.41916587335405214
bv_3_vq.py,1,0.18119070635913057
bv_3_vq.py,2,0.14499481790445332
vqe_indep_5_mqt.py,1,0.3168374418565717
pe_4_mqt.py,1,0.32177579186759897
pe_4_mqt.py,2,0.4421680512602073
pe_6_vq.py,1,0.5213101462400362
pe_6_vq.py,2,0.5802370566664284
vqe_indep_3_mqt.py,1,0.19231368539040197
bv_9_vq.py,1,0.5284753948132271
bv_9_vq.py,2,0.5173844855520718
pe_5_mqt.py,1,0.4785587764453828
pe_5_mqt.py,2,0.5249896423081243
qft_6_mqt.py,1,0.7077257996863968
qft_6_mqt.py,2,0.7449104778862593
grover-v-chain_3_mqt.py,1,0.2588903534885029
grover-v-chain_3_mqt.py,2,0.14428066209640658
pe_5_vq.py,1,0.366292021580697
pe_5_vq.py,2,0.2894364327244359
shor_mod21_mqt.py,1,0.40936917566043696
3_17tc_vq.py,1,0.20317922408539243
3_17tc_vq.py,2,0.1382181665726529
grover_3_vq.py,1,0.07361828842306065
grover_3_vq.py,2,0.16512729021911696
bv_5_vq.py,1,0.13554954629422783
bv_5_vq.py,2,0.27781186281725684
kickback_7_vq.py,1,0.004649368861863372
kickback_7_vq.py,2,0.012975611657153392
qft_2_mqt.py,1,0.12206133048153255
qft_2_mqt.py,2,0.06417837327288478
qwalk-v-chain_3_mqt.py,1,0.7938956915447248
qwalk-v-chain_3_mqt.py,2,0.43500679134308706
grover_7_vq.py,1,0.9011753756730376
grover_7_vq.py,2,0.8581949045580375
qft_7_vq.py,1,0.9654929829722986
grover-noancilla_3_mqt.py,1,0.3047320828299374
grover-noancilla_3_mqt.py,2,0.3047320828299374
qft_4_mqt.py,1,0.5558687565927457
shor_mod15_mqt.py,1,0.24387463639258614
shor_mod15_mqt.py,2,0.2749270149119052
tsp_indep_5_mqt.py,1,0.3128416506187133
qft_3_mqt.py,1,0.31233830394772
qft_3_mqt.py,2,0.1822573234815006
pe_2_vq.py,1,0.2557820626131741
bv_2_vq.py,1,0.12166392767188577
bv_2_vq.py,2,0.05914958529086676
dj_indep_5_mqt.py,1,0.12970489808138205
dj_indep_5_mqt.py,2,0.29571308653397366
qft_3_vq.py,1,0.08928227859393649
qft_3_vq.py,2,0.1156632795459211
dj_indep_7_mqt.py,1,0.7960977708634883
dj_indep_7_mqt.py,2,0.4407683018318347
adder_n4_vq.py,1,0.23768864710102214
adder_n4_vq.py,2,0.19687767220068755
bv_4_vq.py,1,0.2401038654380558
bv_4_vq.py,2,0.22980274491229946
adder_n10_vq.py,1,0.9028549025832472
grover-v-chain_4_mqt.py,1,0.6857441499355058
adder_n7_vq.py,1,0.30869094859635315
qaoa_indep_5_mqt.py,1,0.26805949233729964
qaoa_indep_5_mqt.py,2,0.30639582842952373
dj_indep_4_mqt.py,1,0.15951396844736962
dj_indep_4_mqt.py,2,0.17916773926983792
su2random_3_mqt.py,1,0.10082930908313
su2random_3_mqt.py,2,0.11238558007753308
su2_5_vq.py,1,0.2299796128885156
su2_5_vq.py,2,0.16762120269256062
pe_7_mqt.py,1,0.37824867434755083
pe_7_mqt.py,2,0.36330603799011935
