Circuito,Ejecucion,Hellinger
dj_indep_4_mqt.py,1,0.21624157939484326
dj_indep_4_mqt.py,2,0.5113882874044301
pe_5_vq.py,1,0.2708631525312846
pe_5_vq.py,2,0.5385853454459709
adder_n4_vq.py,1,0.4389554231849706
adder_n4_vq.py,2,0.5043958498424697
bv_2_vq.py,1,0.1450702781039301
bv_2_vq.py,2,0.02245464990069232
grover_3_vq.py,1,0.23983212397329445
grover_3_vq.py,2,0.0889334886107225
grover_7_vq.py,1,0.5739467058282821
grover_7_vq.py,2,0.9011172319333357
tsp_indep_4_mqt.py,1,0.35611783063102787
tsp_indep_4_mqt.py,2,0.6965755719653202
su2random_3_mqt.py,1,0.13111324407802447
su2random_3_mqt.py,2,0.04273385311331976
pe_2_vq.py,1,0.1680165232011977
pe_2_vq.py,2,0.07887710971008323
qft_2_mqt.py,1,0.13606565146700006
qft_2_mqt.py,2,0.552034235085643
grover-v-chain_3_mqt.py,1,0.217584324419629
grover-v-chain_3_mqt.py,2,0.19333667992862358
shor_mod15_mqt.py,1,0.24995105672171264
shor_mod15_mqt.py,2,0.17659956224183618
pe_5_mqt.py,1,0.6554478655316164
pe_5_mqt.py,2,0.2200727392686088
pe_6_vq.py,1,0.6251562390703289
pe_6_vq.py,2,0.6694727008858709
qwalk-v-chain_3_mqt.py,1,0.7196850244871962
qwalk-v-chain_3_mqt.py,2,0.26304203161203227
grover-v-chain_4_mqt.py,1,0.6968735794484769
grover-v-chain_4_mqt.py,2,0.21935282955946972
bv_3_vq.py,1,0.37361995923207547
bv_3_vq.py,2,0.47464085381298593
grover-noancilla_4_mqt.py,1,0.6328874509231341
grover-noancilla_4_mqt.py,2,0.2015100439405144
su2_5_vq.py,1,0.3957334161194583
su2_5_vq.py,2,0.5455580218757825
pe_4_mqt.py,1,0.4421680512602073
pe_4_mqt.py,2,0.19006737738359636
vqe_indep_4_mqt.py,1,0.2965037566273225
vqe_indep_4_mqt.py,2,0.14593069151707241
tsp_indep_5_mqt.py,1,0.6311825425854479
tsp_indep_5_mqt.py,2,0.08953960478755997
qft_6_mqt.py,1,0.8977421673810203
qft_6_mqt.py,2,0.192813286816425
qft_3_mqt.py,1,0.7054596746297348
qft_3_mqt.py,2,0.08471303332695396
qwalk-noancilla_3_mqt.py,1,0.5951849229971855
qwalk-noancilla_3_mqt.py,2,0.5951849229971855
qft_7_vq.py,1,0.9336436584969381
qft_7_vq.py,2,0.31070641763881623
grover-noancilla_3_mqt.py,1,0.5248714863382019
grover-noancilla_3_mqt.py,2,0.2178848453242146
simon_vq.py,1,0.7009846121618224
simon_vq.py,2,0.7960319204150771
qwalk-v-chain_5_mqt.py,1,0.8528745172758705
qwalk-v-chain_5_mqt.py,2,0.8533875068470093
dj_indep_7_mqt.py,1,0.9420484810341511
dj_indep_7_mqt.py,2,0.6768626308177421
qft_4_mqt.py,1,0.7623323351119187
qft_4_mqt.py,2,0.7909200753717882
3_17tc_vq.py,1,0.5180766840684923
3_17tc_vq.py,2,0.09565099249479288
pe_6_mqt.py,1,0.5940540925750685
pe_6_mqt.py,2,0.21127557277388606
pe_3_mqt.py,1,0.3271504791862102
pe_3_mqt.py,2,0.09672556620912298
kickback_7_vq.py,1,0.001415136946015509
kickback_7_vq.py,2,0.0017038469982930634
bv_4_vq.py,1,0.19093350838543488
bv_4_vq.py,2,0.15627898954004538
bv_9_vq.py,1,0.7167378840028915
bv_9_vq.py,2,0.7531069030627644
qft_3_vq.py,1,0.12324333659229132
qft_3_vq.py,2,0.15219332862706006
bv_5_vq.py,1,0.15918207550148408
bv_5_vq.py,2,0.2571596328527683
vqe_indep_5_mqt.py,1,0.12937204133099114
vqe_indep_5_mqt.py,2,0.5986503674323362
qaoa_indep_5_mqt.py,1,0.6677541692650033
qaoa_indep_5_mqt.py,2,0.14149451222411108
dj_indep_5_mqt.py,1,0.8767251199944371
dj_indep_5_mqt.py,2,0.17493291877864456
qaoa_indep_4_mqt.py,1,0.4467173130984408
qaoa_indep_4_mqt.py,2,0.6959143019241855
adder_n7_vq.py,1,0.4089669375967067
adder_n7_vq.py,2,0.2355535912555265
vqe_indep_3_mqt.py,1,0.5254069737741109
vqe_indep_3_mqt.py,2,0.7631632893601047
grover_9_vq.py,1,0.9808759064669152
grover_9_vq.py,2,0.5045036594441956
adder_n10_vq.py,1,0.5850298789699587
adder_n10_vq.py,2,0.2400438828919636
qaoa_indep_3_mqt.py,1,0.13645350719063665
qaoa_indep_3_mqt.py,2,0.689896055176369
pe_7_mqt.py,1,0.2119409600452098
pe_7_mqt.py,2,0.2761474708012414
shor_mod21_mqt.py,1,0.796207670165994
shor_mod21_mqt.py,2,0.8063216252746426
