Circuito,Ejecucion,Jensen-Shannon
dj_indep_4_mqt.py,1,0.20167164641143248
dj_indep_4_mqt.py,2,0.4622810448087113
pe_5_vq.py,1,0.2398840836379698
pe_5_vq.py,2,0.481249794463837
adder_n4_vq.py,1,0.412532269174386
adder_n4_vq.py,2,0.4809044165586598
bv_2_vq.py,1,0.1310419065052253
bv_2_vq.py,2,0.022429329899949165
grover_3_vq.py,1,0.20257009741334378
grover_3_vq.py,2,0.08867852226594965
grover_7_vq.py,1,0.501423746103559
grover_7_vq.py,2,0.7772857791228603
tsp_indep_4_mqt.py,1,0.31848755098254594
tsp_indep_4_mqt.py,2,0.6077609050663695
su2random_3_mqt.py,1,0.13063354405203872
su2random_3_mqt.py,2,0.042723653969902395
pe_2_vq.py,1,0.15694949932189425
pe_2_vq.py,2,0.07432151134236303
qft_2_mqt.py,1,0.13567614835273786
qft_2_mqt.py,2,0.4751294449859115
grover-v-chain_3_mqt.py,1,0.18633568304545323
grover-v-chain_3_mqt.py,2,0.18998110198154958
shor_mod15_mqt.py,1,0.22575173415642671
shor_mod15_mqt.py,2,0.16498646283086865
pe_5_mqt.py,1,0.5674748384357641
pe_5_mqt.py,2,0.21609565451637278
pe_6_vq.py,1,0.5407794040865038
pe_6_vq.py,2,0.5802949252385047
qwalk-v-chain_3_mqt.py,1,0.6283463221976503
qwalk-v-chain_3_mqt.py,2,0.26107532110248
grover-v-chain_4_mqt.py,1,0.6078321270982401
grover-v-chain_4_mqt.py,2,0.2176457956164629
bv_3_vq.py,1,0.34314260003648334
bv_3_vq.py,2,0.4383658222844994
grover-noancilla_4_mqt.py,1,0.5514344747468038
grover-noancilla_4_mqt.py,2,0.20032689800896722
su2_5_vq.py,1,0.3583520737398455
su2_5_vq.py,2,0.4833488187328429
pe_4_mqt.py,1,0.37591107054748896
pe_4_mqt.py,2,0.1869228184340401
vqe_indep_4_mqt.py,1,0.24924039839825005
vqe_indep_4_mqt.py,2,0.126464627065991
tsp_indep_5_mqt.py,1,0.5467082766863607
tsp_indep_5_mqt.py,2,0.0894057174641218
qft_6_mqt.py,1,0.7821719503871185
qft_6_mqt.py,2,0.1903001145655469
qft_3_mqt.py,1,0.615803623580961
qft_3_mqt.py,2,0.0846037003875678
qwalk-noancilla_3_mqt.py,1,0.5136507822120833
qwalk-noancilla_3_mqt.py,2,0.5136507822120833
qft_7_vq.py,1,0.8067815185722773
qft_7_vq.py,2,0.29521678429310505
grover-noancilla_3_mqt.py,1,0.4720214671141546
grover-noancilla_3_mqt.py,2,0.2003395752653125
simon_vq.py,1,0.6111124253097326
simon_vq.py,2,0.6978312182470118
qwalk-v-chain_5_mqt.py,1,0.7464891414808591
qwalk-v-chain_5_mqt.py,2,0.7461828667963182
dj_indep_7_mqt.py,1,0.8114564993321535
dj_indep_7_mqt.py,2,0.5988281152843468
qft_4_mqt.py,1,0.667089647261222
qft_4_mqt.py,2,0.6931900969741394
3_17tc_vq.py,1,0.46509880529440006
3_17tc_vq.py,2,0.09519915127318197
pe_6_mqt.py,1,0.5202001652925158
pe_6_mqt.py,2,0.20451410635804174
pe_3_mqt.py,1,0.2755669543948077
pe_3_mqt.py,2,0.09626644382660766
kickback_7_vq.py,1,0.0014151367094243983
kickback_7_vq.py,2,0.0017038465853744013
bv_4_vq.py,1,0.17807424453891535
bv_4_vq.py,2,0.14887965168003642
bv_9_vq.py,1,0.6438888009068393
bv_9_vq.py,2,0.6698208823367967
qft_3_vq.py,1,0.1227968213205654
qft_3_vq.py,2,0.15134970221022495
bv_5_vq.py,1,0.15439145770790508
bv_5_vq.py,2,0.24856049045498066
vqe_indep_5_mqt.py,1,0.12490459388890111
vqe_indep_5_mqt.py,2,0.5240946287630939
qaoa_indep_5_mqt.py,1,0.5805032894056141
qaoa_indep_5_mqt.py,2,0.13943493670831425
dj_indep_5_mqt.py,1,0.761310766513848
dj_indep_5_mqt.py,2,0.16391837987677235
qaoa_indep_4_mqt.py,1,0.3884005099528329
qaoa_indep_4_mqt.py,2,0.6049044605856037
adder_n7_vq.py,1,0.35998952644872323
adder_n7_vq.py,2,0.207867516895923
vqe_indep_3_mqt.py,1,0.4502364238385569
vqe_indep_3_mqt.py,2,0.667834956864276
grover_9_vq.py,1,0.82894113121224
grover_9_vq.py,2,0.4537836261176133
adder_n10_vq.py,1,0.5464873271298701
adder_n10_vq.py,2,0.21064812567706148
qaoa_indep_3_mqt.py,1,0.13504171436374368
qaoa_indep_3_mqt.py,2,0.6008938915318863
pe_7_mqt.py,1,0.1899098316163711
pe_7_mqt.py,2,0.26253307339794757
shor_mod21_mqt.py,1,0.6979739707822082
shor_mod21_mqt.py,2,0.7069688177661192
