Circuito,Ejecucion,Jensen-Shannon
dj_indep_7_mqt.py,1,0.3161929462410264
dj_indep_7_mqt.py,2,0.14432844206155634
shor_mod21_mqt.py,1,0.13069053206775239
shor_mod21_mqt.py,2,0.6566974038159841
tsp_indep_5_mqt.py,1,0.086198987698888
tsp_indep_5_mqt.py,2,0.1011944441185842
vqe_indep_4_mqt.py,1,0.18703920808285981
vqe_indep_4_mqt.py,2,0.10566693343033345
qwalk-v-chain_3_mqt.py,1,0.2922733668003305
qwalk-v-chain_3_mqt.py,2,0.21521852666284322
bv_2_vq.py,1,0.04059001390888848
bv_2_vq.py,2,0.2874433523462156
grover-noancilla_4_mqt.py,1,0.13832320045730373
grover-noancilla_4_mqt.py,2,0.21812983534395436
simon_vq.py,1,0.06521552596922062
simon_vq.py,2,0.06804007281740043
grover_9_vq.py,1,0.39358552694240534
grover_9_vq.py,2,0.31540979320374146
qaoa_indep_5_mqt.py,1,0.10910527791244705
qaoa_indep_5_mqt.py,2,0.08467445181309614
pe_4_mqt.py,1,0.09069712512684343
pe_4_mqt.py,2,0.24774046965289484
grover-v-chain_4_mqt.py,1,0.2757857944962022
grover-v-chain_4_mqt.py,2,0.181079119797451
su2_5_vq.py,1,0.07357044715788412
su2_5_vq.py,2,0.16594864725443695
pe_2_vq.py,1,0.09688990415113193
pe_2_vq.py,2,0.2383129284340024
qft_2_mqt.py,1,0.14122340426705912
qft_2_mqt.py,2,0.11300006555304848
grover_3_vq.py,1,0.16380127911062292
grover_3_vq.py,2,0.1606332471982389
dj_indep_4_mqt.py,1,0.18373217832395175
dj_indep_4_mqt.py,2,0.12258316733196666
qwalk-noancilla_3_mqt.py,1,0.20549170588960866
qwalk-noancilla_3_mqt.py,2,0.23717802166208
qft_4_mqt.py,1,0.2123008464500321
qft_4_mqt.py,2,0.19158642253219074
3_17tc_vq.py,1,0.1524585772675958
3_17tc_vq.py,2,0.12506027583890664
adder_n4_vq.py,1,0.12381230792430403
adder_n4_vq.py,2,0.09973630009775522
pe_5_vq.py,1,0.241156165279373
pe_5_vq.py,2,0.09336870028338909
qft_3_vq.py,1,0.14039650008612106
qft_3_vq.py,2,0.12261020515925704
su2random_3_mqt.py,1,0.057632939788308156
su2random_3_mqt.py,2,0.04409700042026656
pe_6_mqt.py,1,0.4746089642935419
pe_6_mqt.py,2,0.21771104514932013
tsp_indep_4_mqt.py,1,0.7038354927416255
tsp_indep_4_mqt.py,2,0.11713975313816125
qwalk-v-chain_5_mqt.py,1,0.7346710127428852
qwalk-v-chain_5_mqt.py,2,0.29277017728497146
bv_3_vq.py,1,0.5505678605432559
bv_3_vq.py,2,0.09988124445845713
pe_6_vq.py,1,0.5513504491632559
pe_6_vq.py,2,0.19153311345447654
qaoa_indep_3_mqt.py,1,0.6136043687860231
qaoa_indep_3_mqt.py,2,0.15206647320629801
qft_6_mqt.py,1,0.09784831945681574
qft_6_mqt.py,2,0.19694446862540926
shor_mod15_mqt.py,1,0.1700902087839956
shor_mod15_mqt.py,2,0.08796558680459513
bv_4_vq.py,1,0.1747523821946881
bv_4_vq.py,2,0.14012376231635504
bv_5_vq.py,1,0.11987293774935204
bv_5_vq.py,2,0.1700009624134807
grover-noancilla_3_mqt.py,1,0.08572957929024025
grover-noancilla_3_mqt.py,2,0.16678240460878271
grover_7_vq.py,1,0.27655504033495654
grover_7_vq.py,2,0.567665150501093
pe_5_mqt.py,1,0.3216266884958202
pe_5_mqt.py,2,0.2131375735537069
pe_3_mqt.py,1,0.11655054137454578
pe_3_mqt.py,2,0.20882733857332142
qft_3_mqt.py,1,0.16435641054646144
qft_3_mqt.py,2,0.2681814439421246
grover-v-chain_3_mqt.py,1,0.1592210912179004
grover-v-chain_3_mqt.py,2,0.09917639783012228
bv_9_vq.py,1,0.48313607346387505
bv_9_vq.py,2,0.558666927817657
qft_7_vq.py,1,0.5170125461033701
qft_7_vq.py,2,0.2098583298590375
kickback_7_vq.py,1,0.0016897450277322658
kickback_7_vq.py,2,0.06270062466242447
qaoa_indep_4_mqt.py,1,0.15502646228459047
qaoa_indep_4_mqt.py,2,0.1634964108004981
vqe_indep_3_mqt.py,1,0.10963556654110583
vqe_indep_3_mqt.py,2,0.09774179270051245
dj_indep_5_mqt.py,1,0.09737833728946921
dj_indep_5_mqt.py,2,0.05337174244092081
vqe_indep_5_mqt.py,1,0.10363937735692609
vqe_indep_5_mqt.py,2,0.14818144403508088
adder_n7_vq.py,1,0.20474617497585051
adder_n7_vq.py,2,0.1977497930652333
adder_n10_vq.py,1,0.3598073239772942
adder_n10_vq.py,2,0.1588761719017479
pe_7_mqt.py,1,0.21040176784250292
pe_7_mqt.py,2,0.12024056878764934
