Circuito,Ejecucion,Hellinger,Jensen-Shannon
tsp_indep_5_mqt.py,1,0.13911702651670874,0.1386302660438379
tsp_indep_5_mqt.py,2,0.4759626281854934,0.4152037379624366
shor_mod21_mqt.py,1,0.17548119280393315,0.17390909404359117
shor_mod21_mqt.py,2,0.40879809584565063,0.35901084882068884
qft_3_mqt.py,1,0.15233125568180259,0.1518528155744773
qft_3_mqt.py,2,0.19127752944546486,0.18881432745210944
pe_4_mqt.py,1,0.21572334440341254,0.19634648263519935
pe_4_mqt.py,2,0.23331365620414016,0.22771424715442037
su2_5_vq.py,1,0.18071658264132692,0.15409998741866743
su2_5_vq.py,2,0.20367936360012348,0.17788146048842327
pe_5_mqt.py,1,0.44673056946854756,0.38687019210907847
pe_5_mqt.py,2,0.35312002749557264,0.32433168128841555
bv_2_vq.py,1,0.07933635142681987,0.06905976556759372
bv_2_vq.py,2,0.07810498737215905,0.0770212941281367
qwalk-v-chain_3_mqt.py,1,0.24771713337880225,0.24535592535198722
qwalk-v-chain_3_mqt.py,2,0.47981170444799054,0.41530736127554757
kickback_7_vq.py,1,0.010357089097014192,0.010356995984042008
kickback_7_vq.py,2,0.0072637307406670315,0.0072636987819367374
grover-noancilla_3_mqt.py,1,0.09781733027714098,0.09682923894267179
grover-noancilla_3_mqt.py,2,0.13665248765760674,0.13539997661304726
3_17tc_vq.py,1,0.093108671793027,0.09263517875361875
3_17tc_vq.py,2,0.07682270117348547,0.0765224106860401
qaoa_indep_5_mqt.py,1,0.1081707688253822,0.10766681214202015
qaoa_indep_5_mqt.py,2,0.10106027115014643,0.10065112389359662
qft_4_mqt.py,1,0.19485964372404327,0.1938005982165347
qft_4_mqt.py,2,0.1919255628925596,0.19078098230471538
simon_vq.py,1,0.04398377398879016,0.043971581503617185
simon_vq.py,2,0.0343998641808281,0.03439296866357357
qwalk-noancilla_3_mqt.py,1,0.2386381957221685,0.2364896715025748
qwalk-noancilla_3_mqt.py,2,0.5287684285843602,0.45573207233367985
adder_n4_vq.py,1,0.09077579663009873,0.08782071015618469
adder_n4_vq.py,2,0.11823773271640839,0.11574583419616225
pe_6_vq.py,1,0.18267940685497575,0.1772187790971026
pe_6_vq.py,2,0.22053628313996904,0.21720485881048196
qaoa_indep_3_mqt.py,1,0.13383797255254817,0.13346213732194392
qaoa_indep_3_mqt.py,2,0.1945368784848777,0.17514888452700933
grover-v-chain_3_mqt.py,1,0.11427823402203628,0.11305546054182226
grover-v-chain_3_mqt.py,2,0.22158455264080296,0.19876787783620573
pe_2_vq.py,1,0.08644881051635403,0.08555993107448395
pe_2_vq.py,2,0.171792616005103,0.14404827036619314
pe_6_mqt.py,1,0.18243004659563872,0.17854462202689655
pe_6_mqt.py,2,0.23279131324023103,0.22944493008670241
grover-noancilla_4_mqt.py,1,0.1673076624395353,0.16663881666870167
grover-noancilla_4_mqt.py,2,0.30453461689382844,0.2789292190906379
pe_5_vq.py,1,0.10773402234249806,0.10192178460302947
