Circuito,Ejecucion,Hellinger
tsp_indep_5_mqt.py,1,0.13911702651670874
tsp_indep_5_mqt.py,2,0.4759626281854934
shor_mod21_mqt.py,1,0.17548119280393315
shor_mod21_mqt.py,2,0.40879809584565063
qft_3_mqt.py,1,0.15233125568180259
qft_3_mqt.py,2,0.19127752944546486
pe_4_mqt.py,1,0.21572334440341254
pe_4_mqt.py,2,0.23331365620414016
su2_5_vq.py,1,0.18071658264132692
su2_5_vq.py,2,0.20367936360012348
pe_5_mqt.py,1,0.44673056946854756
pe_5_mqt.py,2,0.35312002749557264
bv_2_vq.py,1,0.07933635142681987
bv_2_vq.py,2,0.07810498737215905
qwalk-v-chain_3_mqt.py,1,0.24771713337880225
qwalk-v-chain_3_mqt.py,2,0.47981170444799054
kickback_7_vq.py,1,0.010357089097014192
kickback_7_vq.py,2,0.0072637307406670315
grover-noancilla_3_mqt.py,1,0.09781733027714098
grover-noancilla_3_mqt.py,2,0.13665248765760674
3_17tc_vq.py,1,0.093108671793027
3_17tc_vq.py,2,0.07682270117348547
qaoa_indep_5_mqt.py,1,0.1081707688253822
qaoa_indep_5_mqt.py,2,0.10106027115014643
qft_4_mqt.py,1,0.19485964372404327
qft_4_mqt.py,2,0.1919255628925596
simon_vq.py,1,0.04398377398879016
simon_vq.py,2,0.0343998641808281
qwalk-noancilla_3_mqt.py,1,0.2386381957221685
qwalk-noancilla_3_mqt.py,2,0.5287684285843602
adder_n4_vq.py,1,0.09077579663009873
adder_n4_vq.py,2,0.11823773271640839
pe_6_vq.py,1,0.18267940685497575
pe_6_vq.py,2,0.22053628313996904
qaoa_indep_3_mqt.py,1,0.13383797255254817
qaoa_indep_3_mqt.py,2,0.1945368784848777
grover-v-chain_3_mqt.py,1,0.11427823402203628
grover-v-chain_3_mqt.py,2,0.22158455264080296
pe_2_vq.py,1,0.08644881051635403
pe_2_vq.py,2,0.171792616005103
pe_6_mqt.py,1,0.18243004659563872
pe_6_mqt.py,2,0.23279131324023103
grover-noancilla_4_mqt.py,1,0.1673076624395353
grover-noancilla_4_mqt.py,2,0.30453461689382844
pe_5_vq.py,1,0.10773402234249806
pe_5_vq.py,2,0.08512559734734473
grover_9_vq.py,1,0.3428441437491228
grover_9_vq.py,2,0.8240583236410668
bv_9_vq.py,1,0.6428360887537907
bv_9_vq.py,2,0.3084972761891873
dj_indep_4_mqt.py,1,0.11502380066787739
dj_indep_4_mqt.py,2,0.09428150089581852
bv_4_vq.py,1,0.17480368866581958
bv_4_vq.py,2,0.11283894903539261
bv_5_vq.py,1,0.16903257151117188
bv_5_vq.py,2,0.15926313579530332
su2random_3_mqt.py,1,0.041751420606485685
su2random_3_mqt.py,2,0.12261356031099008
grover_3_vq.py,1,0.13316640518275794
grover_3_vq.py,2,0.1684302585048066
vqe_indep_4_mqt.py,1,0.28232441166258204
vqe_indep_4_mqt.py,2,0.21705655070522326
dj_indep_7_mqt.py,1,0.5650070912292554
dj_indep_7_mqt.py,2,0.21704698755601798
bv_3_vq.py,1,0.16452034003796612
bv_3_vq.py,2,0.09144489558030744
qwalk-v-chain_5_mqt.py,1,0.37525034850365985
qwalk-v-chain_5_mqt.py,2,0.3032379584231791
grover-v-chain_4_mqt.py,1,0.5082165003845673
grover-v-chain_4_mqt.py,2,0.27714898895214535
qft_6_mqt.py,1,0.5788781295724001
qft_6_mqt.py,2,0.10889258261525168
qft_2_mqt.py,1,0.15384352236540383
qft_2_mqt.py,2,0.04749933421812428
pe_3_mqt.py,1,0.3271504791862102
pe_3_mqt.py,2,0.13034843445555996
qft_3_vq.py,1,0.4018495316364599
qft_3_vq.py,2,0.09217693504366889
tsp_indep_4_mqt.py,1,0.4381043383933993
tsp_indep_4_mqt.py,2,0.4513867037357099
shor_mod15_mqt.py,1,0.24463608144335477
shor_mod15_mqt.py,2,0.08924729144991604
vqe_indep_3_mqt.py,1,0.43995783639551467
vqe_indep_3_mqt.py,2,0.10822856389326536
qft_7_vq.py,1,0.5841674181620299
qft_7_vq.py,2,0.19454209455095806
grover_7_vq.py,1,0.44266868724235464
grover_7_vq.py,2,0.4738875729426237
dj_indep_5_mqt.py,1,0.5673996932608399
dj_indep_5_mqt.py,2,0.09430398636113096
qaoa_indep_4_mqt.py,1,0.174600903180258
qaoa_indep_4_mqt.py,2,0.15792983048333156
vqe_indep_5_mqt.py,1,0.14244868132316799
vqe_indep_5_mqt.py,2,0.10296658152617916
adder_n10_vq.py,1,0.4191003159360946
adder_n10_vq.py,2,0.18009259641122066
adder_n7_vq.py,1,0.25484613942293066
adder_n7_vq.py,2,0.11240924996968
pe_7_mqt.py,1,0.42300821431978164
pe_7_mqt.py,2,0.1312237592251837
