Fecha_Hora;Job_ID;Circuito_Nombre;Layout_Circuito;Layout_Centinela;Modo_Centinela;Shots_Totales;Shots_Validos;Supervivencia_(%)
2026-09-21 12:53:28;Simulacion;kickback_7_vq.py;[36- 21- 22- 23- 16- 3- 2];[1];t1_decay;10000;5970;59.70
2026-09-21 12:53:28;Simulacion;qaoa_indep_5_mqt.py;[101- 102- 103- 96- 83];[84];t1_decay;10000;5970;59.70
2026-09-21 12:53:28;Simulacion;dj_indep_7_mqt.py;[147- 137- 127- 126- 125- 124- 123];[148];t1_decay;10000;5970;59.70
2026-09-21 12:53:28;Simulacion;pe_5_vq.py;[13- 14- 15- 19- 35- 34];[33];t1_decay;10000;5970;59.70
2026-09-21 12:53:28;Simulacion;tsp_indep_5_mqt.py;[115- 114- 113- 112- 111];[110];t1_decay;10000;5970;59.70
2026-09-21 12:53:28;Simulacion;su2random_3_mqt.py;[75- 74- 73];[59];t1_decay;10000;5970;59.70
2026-09-21 12:53:32;Simulacion;qwalk-v-chain_3_mqt.py;[3- 2- 1];[16];t1_decay;10000;2974;29.74
2026-09-21 12:53:32;Simulacion;pe_6_vq.py;[36- 41- 42- 43- 44- 45- 37];[40];t1_decay;10000;2974;29.74
2026-09-21 12:53:32;Simulacion;qft_7_vq.py;[84- 83- 96- 103- 102- 101- 116];[121];t1_decay;10000;2974;29.74
2026-09-21 12:53:32;Simulacion;grover_3_vq.py;[143- 144- 145];[142];t1_decay;10000;2974;29.74
2026-09-21 12:53:32;Simulacion;bv_3_vq.py;[75- 59- 55];[54];t1_decay;10000;2974;29.74
2026-09-21 12:53:32;Simulacion;tsp_indep_5_mqt.py;[127- 128- 129- 130- 131];[132];t1_decay;10000;2974;29.74
2026-09-21 12:53:32;Simulacion;shor_mod21_mqt.py;[115- 99- 95- 94- 93- 92- 91- 90];[89];t1_decay;10000;2974;29.74
2026-09-21 12:53:32;Simulacion;bv_4_vq.py;[13- 14- 15- 19];[35];t1_decay;10000;2974;29.74
2026-09-21 12:53:32;Simulacion;bv_2_vq.py;[154- 155];[153];t1_decay;10000;2974;29.74
2026-09-21 12:53:38;Simulacion;qft_4_mqt.py;[142- 143- 144- 145];[141];t1_decay;10000;3409;34.09
2026-09-21 12:53:38;Simulacion;shor_mod15_mqt.py;[1- 2- 3- 16- 23];[24];t1_decay;10000;3409;34.09
2026-09-21 12:53:38;Simulacion;qft_3_mqt.py;[101- 116- 121];[102];t1_decay;10000;3409;34.09
2026-09-21 12:53:38;Simulacion;pe_2_vq.py;[87- 88- 89];[86];t1_decay;10000;3409;34.09
2026-09-21 12:53:38;Simulacion;bv_5_vq.py;[127- 128- 129- 130- 131];[132];t1_decay;10000;3409;34.09
2026-09-21 12:53:38;Simulacion;grover-noancilla_4_mqt.py;[75- 59- 55- 54];[74];t1_decay;10000;3409;34.09
2026-09-21 12:53:39;Simulacion;pe_3_mqt.py;[15- 14- 13];[19];t1_decay;10000;3409;34.09
2026-09-21 12:53:39;Simulacion;grover-noancilla_3_mqt.py;[115- 99- 95];[94];t1_decay;10000;3409;34.09
2026-09-21 12:53:39;Simulacion;qft_2_mqt.py;[154- 155];[153];t1_decay;10000;3409;34.09
2026-09-21 12:53:44;Simulacion;pe_5_mqt.py;[1- 2- 3- 16- 23];[24];t1_decay;10000;1406;14.06
2026-09-21 12:53:44;Simulacion;grover-v-chain_4_mqt.py;[142- 143- 144- 145];[141];t1_decay;10000;1406;14.06
2026-09-21 12:53:44;Simulacion;3_17tc_vq.py;[101- 116- 121];[102];t1_decay;10000;1406;14.06
2026-09-21 12:53:44;Simulacion;qft_6_mqt.py;[13- 14- 15- 19- 35- 34];[33];t1_decay;10000;1406;14.06
2026-09-21 12:53:44;Simulacion;qwalk-v-chain_5_mqt.py;[127- 128- 129- 130- 131];[132];t1_decay;10000;1406;14.06
2026-09-21 12:53:44;Simulacion;pe_6_mqt.py;[106- 107- 97- 87- 86- 85];[84];t1_decay;10000;1406;14.06
2026-09-21 12:53:44;Simulacion;vqe_indep_4_mqt.py;[75- 74- 73- 79];[59];t1_decay;10000;1406;14.06
2026-09-21 12:53:51;Simulacion;adder_n4_vq.py;[142- 143- 144- 145];[141];t1_decay;10000;3771;37.71
2026-09-21 12:53:51;Simulacion;dj_indep_4_mqt.py;[2- 3- 16- 23];[1];t1_decay;10000;3771;37.71
2026-09-21 12:53:51;Simulacion;grover_7_vq.py;[106- 105- 104- 103- 96- 83- 84];[102];t1_decay;10000;3771;37.71
2026-09-21 12:53:51;Simulacion;su2_5_vq.py;[75- 59- 55- 54];[74];t1_decay;10000;3771;37.71
2026-09-21 12:53:51;Simulacion;3_17tc_vq.py;[131- 130- 129];[132];t1_decay;10000;3771;37.71
2026-09-21 12:53:52;Simulacion;qaoa_indep_3_mqt.py;[15- 14- 13];[19];t1_decay;10000;3771;37.71
2026-09-21 12:53:52;Simulacion;qwalk-v-chain_3_mqt.py;[115- 99- 95];[94];t1_decay;10000;3771;37.71
2026-09-21 12:53:57;Simulacion;simon_vq.py;[1- 2- 3- 16- 23- 22];[24];t1_decay;10000;6370;63.70
2026-09-21 12:53:57;Simulacion;simon_vq.py;[101- 102- 103- 96- 83- 84];[116];t1_decay;10000;6370;63.70
2026-09-21 12:53:57;Simulacion;bv_9_vq.py;[142- 143- 144- 145- 146- 147- 137- 127- 126];[148];t1_decay;10000;6370;63.70
2026-09-21 12:53:57;Simulacion;pe_4_mqt.py;[75- 59- 55- 54];[74];t1_decay;10000;6370;63.70
2026-09-21 12:53:57;Simulacion;shor_mod21_mqt.py;[115- 114- 113- 112- 111- 98- 91- 92];[110];t1_decay;10000;6370;63.70
2026-09-21 12:53:57;Simulacion;grover-v-chain_3_mqt.py;[15- 14- 13];[19];t1_decay;10000;6370;63.70
2026-09-21 12:53:57;Simulacion;qft_3_vq.py;[135- 139- 155];[154];t1_decay;10000;6370;63.70
2026-09-21 12:54:30;Simulacion;tsp_indep_4_mqt.py;[142- 143- 144- 145];[141];t1_decay;10000;1520;15.20
2026-09-21 12:54:30;Simulacion;tsp_indep_4_mqt.py;[2- 3- 16- 23];[1];t1_decay;10000;1520;15.20
2026-09-21 12:54:30;Simulacion;qwalk-noancilla_3_mqt.py;[101- 116- 121];[102];t1_decay;10000;1520;15.20
2026-09-21 12:54:30;Simulacion;grover_9_vq.py;[13- 14- 15- 19- 35- 34- 33- 32- 31];[39];t1_decay;10000;1520;15.20
2026-09-21 12:54:30;Simulacion;qwalk-noancilla_3_mqt.py;[87- 88- 89];[86];t1_decay;10000;1520;15.20
2026-09-21 12:54:30;Simulacion;su2_5_vq.py;[131- 130- 129- 128];[127];t1_decay;10000;1520;15.20
2026-09-21 12:54:30;Simulacion;qaoa_indep_3_mqt.py;[75- 74- 73];[59];t1_decay;10000;1520;15.20
2026-09-21 12:54:30;Simulacion;su2random_3_mqt.py;[115- 114- 113];[112];t1_decay;10000;1520;15.20
