Circuito,Ejecucion,Hellinger
kickback_7_vq.py,1,0.0053733680290581586
kickback_7_vq.py,2,0.008029907630117024
qaoa_indep_5_mqt.py,1,0.37137728633755906
qaoa_indep_5_mqt.py,2,0.3833793797586897
dj_indep_7_mqt.py,1,0.3446892796222348
dj_indep_7_mqt.py,2,0.12898449508707205
pe_5_vq.py,1,0.07514318440686
pe_5_vq.py,2,0.6054434099799587
tsp_indep_5_mqt.py,1,0.07361641674870457
tsp_indep_5_mqt.py,2,0.06588174716332418
su2random_3_mqt.py,1,0.029174365918888143
su2random_3_mqt.py,2,0.05125959987928096
qwalk-v-chain_3_mqt.py,1,0.29247738268758755
qwalk-v-chain_3_mqt.py,2,0.2744412322358173
pe_6_vq.py,1,0.2482576993149268
pe_6_vq.py,2,0.19053433762879993
qft_7_vq.py,1,0.34206919320877577
qft_7_vq.py,2,0.15117693397571552
grover_3_vq.py,1,0.16900344727076114
grover_3_vq.py,2,0.09008100683255137
bv_3_vq.py,1,0.13888547734290876
bv_3_vq.py,2,0.0472273783214012
shor_mod21_mqt.py,1,0.06071709771939068
shor_mod21_mqt.py,2,0.06483389592277236
bv_4_vq.py,1,0.12766196925901055
bv_4_vq.py,2,0.10533209042931076
bv_2_vq.py,1,0.0423579388774993
bv_2_vq.py,2,0.031675441331637376
qft_4_mqt.py,1,0.1703349952418898
qft_4_mqt.py,2,0.18687208135595915
shor_mod15_mqt.py,1,0.1180052562088677
shor_mod15_mqt.py,2,0.09991552736886282
qft_3_mqt.py,1,0.09378191261006875
qft_3_mqt.py,2,0.09332034647150796
pe_2_vq.py,1,0.06845574821223609
pe_2_vq.py,2,0.14194885276689523
bv_5_vq.py,1,0.20739139913229435
bv_5_vq.py,2,0.15498906144154534
grover-noancilla_4_mqt.py,1,0.1802156353343734
grover-noancilla_4_mqt.py,2,0.19318141161054428
pe_3_mqt.py,1,0.11091023666477054
pe_3_mqt.py,2,0.13718085048104312
grover-noancilla_3_mqt.py,1,0.12190541169187849
grover-noancilla_3_mqt.py,2,0.10045900256315152
qft_2_mqt.py,1,0.09199148927057418
qft_2_mqt.py,2,0.11354011479953631
pe_5_mqt.py,1,0.20318985226861572
pe_5_mqt.py,2,0.28934957285184304
grover-v-chain_4_mqt.py,1,0.32320815117191976
grover-v-chain_4_mqt.py,2,0.26810667804058264
3_17tc_vq.py,1,0.06722771812051256
3_17tc_vq.py,2,0.04637755457251455
qft_6_mqt.py,1,0.16756248045927608
qft_6_mqt.py,2,0.10842795861678589
qwalk-v-chain_5_mqt.py,1,0.10749723571896491
qwalk-v-chain_5_mqt.py,2,0.09432766929305966
pe_6_mqt.py,1,0.35047251659694595
pe_6_mqt.py,2,0.5122800409620043
vqe_indep_4_mqt.py,1,0.11020256788963807
vqe_indep_4_mqt.py,2,0.16452118105931934
adder_n4_vq.py,1,0.11453982313032827
adder_n4_vq.py,2,0.12495142887690608
dj_indep_4_mqt.py,1,0.18773414700653254
dj_indep_4_mqt.py,2,0.10353164951569824
grover_7_vq.py,1,0.28078732629620645
grover_7_vq.py,2,0.13375239022949154
su2_5_vq.py,1,0.16633603966809338
su2_5_vq.py,2,0.13738012565032154
qaoa_indep_3_mqt.py,1,0.16787354623542905
qaoa_indep_3_mqt.py,2,0.07538582839217702
simon_vq.py,1,0.08273015092483509
simon_vq.py,2,0.05949821814366711
bv_9_vq.py,1,0.36143347457339303
bv_9_vq.py,2,0.2727391514773032
pe_4_mqt.py,1,0.102102241240321
pe_4_mqt.py,2,0.15757576173325646
grover-v-chain_3_mqt.py,1,0.11200675642382335
grover-v-chain_3_mqt.py,2,0.11566005688463768
qft_3_vq.py,1,0.09909212926060092
qft_3_vq.py,2,0.11196200019003577
tsp_indep_4_mqt.py,1,0.10688249418024477
tsp_indep_4_mqt.py,2,0.13149629092905465
qwalk-noancilla_3_mqt.py,1,0.192675417083188
qwalk-noancilla_3_mqt.py,2,0.20230707486534397
grover_9_vq.py,1,0.48059149072919755
grover_9_vq.py,2,0.26863942862952217
vqe_indep_3_mqt.py,1,0.0834240847442145
vqe_indep_3_mqt.py,2,0.1339254920607036
qaoa_indep_4_mqt.py,1,0.16767589333902397
qaoa_indep_4_mqt.py,2,0.14477564803152745
vqe_indep_5_mqt.py,1,0.13294589433763562
vqe_indep_5_mqt.py,2,0.125994492654271
dj_indep_5_mqt.py,1,0.5804753637107029
dj_indep_5_mqt.py,2,0.14336412894598294
adder_n10_vq.py,1,0.4127026293342264
adder_n10_vq.py,2,0.448685622601851
adder_n7_vq.py,1,0.11331489767695362
adder_n7_vq.py,2,0.151785677651912
pe_7_mqt.py,1,0.164269106567343
pe_7_mqt.py,2,0.12960878342089704
