Fecha_Hora;Job_ID;Circuito_Nombre;Layout_Circuito;Layout_Centinela;Modo_Centinela;Shots_Totales;Shots_Validos;Supervivencia_(%)
2026-09-21 13:06:26;Simulacion;grover-noancilla_4_mqt.py;[142- 143- 144- 145];[141];robust_local;10000;8477;84.77
2026-09-21 13:06:26;Simulacion;grover_3_vq.py;[3- 2- 1];[16];robust_local;10000;9136;91.36
2026-09-21 13:06:26;Simulacion;vqe_indep_4_mqt.py;[87- 86- 85- 84];[83];robust_local;10000;4491;44.91
2026-09-21 13:06:26;Simulacion;kickback_7_vq.py;[36- 41- 42- 43- 44- 45- 37];[40];robust_local;10000;8091;80.91
2026-09-21 13:06:26;Simulacion;qft_7_vq.py;[131- 130- 129- 118- 109- 110- 111];[132];robust_local;10000;8112;81.12
2026-09-21 13:06:26;Simulacion;simon_vq.py;[13- 14- 15- 19- 35- 34];[33];robust_local;10000;6822;68.22
2026-09-21 13:06:26;Simulacion;qft_3_mqt.py;[75- 74- 73];[59];robust_local;10000;8513;85.13
2026-09-21 13:06:30;Simulacion;grover_7_vq.py;[36- 21- 22- 23- 16- 3- 2];[1];robust_local;10000;5737;57.37
2026-09-21 13:06:30;Simulacion;qwalk-noancilla_3_mqt.py;[147- 137- 127];[148];robust_local;10000;1479;14.79
2026-09-21 13:06:30;Simulacion;bv_5_vq.py;[87- 86- 85- 84- 83];[88];robust_local;10000;5435;54.35
2026-09-21 13:06:30;Simulacion;qwalk-v-chain_5_mqt.py;[115- 114- 113- 112- 111];[110];robust_local;10000;1722;17.22
2026-09-21 13:06:30;Simulacion;dj_indep_7_mqt.py;[142- 143- 136- 123- 122- 121- 116];[101];robust_local;10000;7684;76.84
2026-09-21 13:06:30;Simulacion;simon_vq.py;[13- 14- 15- 19- 35- 34];[33];robust_local;10000;5474;54.74
2026-09-21 13:06:30;Simulacion;qft_4_mqt.py;[75- 74- 73- 79];[59];robust_local;10000;3737;37.37
2026-09-21 13:06:30;Simulacion;grover-v-chain_3_mqt.py;[135- 139- 155];[154];robust_local;10000;8823;88.23
2026-09-21 13:06:34;Simulacion;qft_3_vq.py;[3- 2- 1];[16];robust_local;10000;8547;85.47
2026-09-21 13:06:34;Simulacion;tsp_indep_5_mqt.py;[36- 41- 42- 43- 44];[45];robust_local;10000;6936;69.36
2026-09-21 13:06:34;Simulacion;qwalk-v-chain_3_mqt.py;[147- 137- 127];[148];robust_local;10000;2320;23.20
2026-09-21 13:06:34;Simulacion;grover-v-chain_4_mqt.py;[87- 86- 85- 84];[83];robust_local;10000;2822;28.22
2026-09-21 13:06:34;Simulacion;grover_9_vq.py;[13- 14- 15- 19- 35- 34- 33- 32- 31];[39];robust_local;10000;7748;77.48
2026-09-21 13:06:34;Simulacion;dj_indep_4_mqt.py;[115- 114- 113- 112];[111];robust_local;10000;8569;85.69
2026-09-21 13:06:34;Simulacion;adder_n4_vq.py;[143- 136- 123- 122];[142];robust_local;10000;634;6.34
2026-09-21 13:06:34;Simulacion;bv_4_vq.py;[75- 74- 73- 79];[59];robust_local;10000;6160;61.60
2026-09-21 13:06:39;Simulacion;su2_5_vq.py;[142- 143- 144- 145];[141];robust_local;10000;8623;86.23
2026-09-21 13:06:39;Simulacion;bv_9_vq.py;[127- 126- 125- 117- 105- 104- 103- 102- 101];[106];robust_local;10000;9271;92.71
2026-09-21 13:06:39;Simulacion;pe_5_vq.py;[1- 2- 3- 16- 23- 22];[24];robust_local;10000;8633;86.33
2026-09-21 13:06:39;Simulacion;pe_4_mqt.py;[75- 59- 55- 54];[74];robust_local;10000;9564;95.64
2026-09-21 13:06:39;Simulacion;qaoa_indep_5_mqt.py;[115- 114- 113- 112- 111];[110];robust_local;10000;8574;85.74
2026-09-21 13:06:39;Simulacion;bv_3_vq.py;[15- 14- 13];[19];robust_local;10000;5117;51.17
2026-09-21 13:06:43;Simulacion;pe_6_mqt.py;[1- 2- 3- 16- 23- 22];[24];robust_local;10000;7513;75.13
2026-09-21 13:06:43;Simulacion;tsp_indep_5_mqt.py;[101- 102- 103- 96- 83];[84];robust_local;10000;7771;77.71
2026-09-21 13:06:43;Simulacion;pe_2_vq.py;[147- 137- 127];[148];robust_local;10000;7639;76.39
2026-09-21 13:06:43;Simulacion;3_17tc_vq.py;[142- 141- 140];[143];robust_local;10000;6066;60.66
2026-09-21 13:06:43;Simulacion;pe_5_mqt.py;[115- 114- 113- 112- 111];[110];robust_local;10000;7763;77.63
2026-09-21 13:06:43;Simulacion;pe_3_mqt.py;[75- 59- 55];[54];robust_local;10000;8684;86.84
2026-09-21 13:06:43;Simulacion;shor_mod15_mqt.py;[13- 14- 15- 19- 35];[34];robust_local;10000;7021;70.21
2026-09-21 13:06:47;Simulacion;tsp_indep_4_mqt.py;[142- 143- 144- 145];[141];robust_local;10000;8294;82.94
2026-09-21 13:06:47;Simulacion;qft_2_mqt.py;[3- 2];[1];robust_local;10000;8268;82.68
2026-09-21 13:06:47;Simulacion;qaoa_indep_3_mqt.py;[36- 41- 40];[21];robust_local;10000;6559;65.59
2026-09-21 13:06:47;Simulacion;qwalk-noancilla_3_mqt.py;[101- 116- 121];[102];robust_local;10000;8511;85.11
2026-09-21 13:06:47;Simulacion;qwalk-v-chain_3_mqt.py;[75- 59- 55];[54];robust_local;10000;7144;71.44
2026-09-21 13:06:47;Simulacion;grover-noancilla_3_mqt.py;[87- 88- 89];[86];robust_local;10000;5619;56.19
