Circuito,Ejecucion,Hellinger
grover-noancilla_4_mqt.py,1,0.20683023889523372
grover-noancilla_4_mqt.py,2,0.15268691454236383
grover_3_vq.py,1,0.12452342921952778
grover_3_vq.py,2,0.10905199673096859
vqe_indep_4_mqt.py,1,0.1057050357903367
vqe_indep_4_mqt.py,2,0.11013083811946242
kickback_7_vq.py,1,0.0044987015590434165
kickback_7_vq.py,2,0.004215341390343444
qft_7_vq.py,1,0.13908224385018403
qft_7_vq.py,2,0.19950923013777241
simon_vq.py,1,0.035295888493079214
simon_vq.py,2,0.040500180178307234
qft_3_mqt.py,1,0.07865264700554049
qft_3_mqt.py,2,0.09140986538510214
grover_7_vq.py,1,0.11670891065813245
grover_7_vq.py,2,0.15762037195261677
qwalk-noancilla_3_mqt.py,1,0.13676057482720047
qwalk-noancilla_3_mqt.py,2,0.2183902317481538
bv_5_vq.py,1,0.18402511743236782
bv_5_vq.py,2,0.19358170812950182
qwalk-v-chain_5_mqt.py,1,0.1369327897025958
qwalk-v-chain_5_mqt.py,2,0.08500152657805095
dj_indep_7_mqt.py,1,0.3328859476118764
dj_indep_7_mqt.py,2,0.16612535789528263
qft_4_mqt.py,1,0.16656124287301133
qft_4_mqt.py,2,0.1682791195685038
grover-v-chain_3_mqt.py,1,0.1606507344261999
grover-v-chain_3_mqt.py,2,0.10675782345976093
qft_3_vq.py,1,0.1178127777413011
qft_3_vq.py,2,0.12377500557915115
tsp_indep_5_mqt.py,1,0.12249382099170306
tsp_indep_5_mqt.py,2,0.09001332632668242
qwalk-v-chain_3_mqt.py,1,0.2459110363396243
qwalk-v-chain_3_mqt.py,2,0.24671206666796933
grover-v-chain_4_mqt.py,1,0.22054969370972552
grover-v-chain_4_mqt.py,2,0.24746677613428628
grover_9_vq.py,1,0.4706610220804087
grover_9_vq.py,2,0.2211581353302849
dj_indep_4_mqt.py,1,0.0963571984350928
dj_indep_4_mqt.py,2,0.13151239418007124
adder_n4_vq.py,1,0.10381377366814895
adder_n4_vq.py,2,0.08157667850155954
bv_4_vq.py,1,0.21049009359299126
bv_4_vq.py,2,0.12210426159893292
su2_5_vq.py,1,0.1041842701318999
su2_5_vq.py,2,0.13751004657737959
bv_9_vq.py,1,0.31718041079731996
bv_9_vq.py,2,0.3122421028706887
pe_5_vq.py,1,0.07371825943104422
pe_5_vq.py,2,0.06734878480681603
pe_4_mqt.py,1,0.17416919881814477
pe_4_mqt.py,2,0.21960598325786354
qaoa_indep_5_mqt.py,1,0.09309567666317813
qaoa_indep_5_mqt.py,2,0.11425384528313343
bv_3_vq.py,1,0.06964233550950481
bv_3_vq.py,2,0.13376368206589787
pe_6_mqt.py,1,0.149890522544341
pe_6_mqt.py,2,0.48201340028186895
pe_2_vq.py,1,0.11044225109133404
pe_2_vq.py,2,0.06622997648341315
3_17tc_vq.py,1,0.09526787257002191
3_17tc_vq.py,2,0.057882178024551985
pe_5_mqt.py,1,0.2934594881506583
pe_5_mqt.py,2,0.25700179660082295
pe_3_mqt.py,1,0.12802832106760478
pe_3_mqt.py,2,0.13326403645334212
shor_mod15_mqt.py,1,0.08147255884013688
shor_mod15_mqt.py,2,0.16468220828878197
tsp_indep_4_mqt.py,1,0.10582326185702468
tsp_indep_4_mqt.py,2,0.0886365660019665
qft_2_mqt.py,1,0.1375857775782026
qft_2_mqt.py,2,0.11950821616665774
qaoa_indep_3_mqt.py,1,0.18136399475389897
qaoa_indep_3_mqt.py,2,0.10982924930263009
grover-noancilla_3_mqt.py,1,0.1668641988022968
grover-noancilla_3_mqt.py,2,0.11235909899036013
shor_mod21_mqt.py,1,0.06147584682619827
shor_mod21_mqt.py,2,0.07995849602133598
bv_2_vq.py,1,0.03749188067648665
bv_2_vq.py,2,0.09012514041122767
qft_6_mqt.py,1,0.10079585377005945
qft_6_mqt.py,2,0.09776628334277228
su2random_3_mqt.py,1,0.028685900637374747
su2random_3_mqt.py,2,0.04341722674745532
pe_6_vq.py,1,0.20963298073943915
pe_6_vq.py,2,0.21520474245949375
qaoa_indep_4_mqt.py,1,0.1666059062830629
qaoa_indep_4_mqt.py,2,0.16971573811781757
vqe_indep_3_mqt.py,1,0.10455644131268596
vqe_indep_3_mqt.py,2,0.09476523960298137
adder_n7_vq.py,1,0.21098388624751235
adder_n7_vq.py,2,0.12617400376460422
adder_n10_vq.py,1,0.40981685818766095
adder_n10_vq.py,2,0.46866614032320586
dj_indep_5_mqt.py,1,0.0903483048419476
dj_indep_5_mqt.py,2,0.09600263015539977
vqe_indep_5_mqt.py,1,0.19571217604555224
vqe_indep_5_mqt.py,2,0.13942202703704953
pe_7_mqt.py,1,0.1624938871684125
pe_7_mqt.py,2,0.5053979001026967
