Circuito,Ejecucion,Hellinger,Jensen-Shannon
bv_5_vq.py,1,0.16882405729349462,0.16452678216211827
bv_5_vq.py,2,0.10103524007123013,0.10013330387649459
qwalk-v-chain_5_mqt.py,1,0.16000465840853903,0.15916970515061654
qwalk-v-chain_5_mqt.py,2,0.12817922063578546,0.12774524225464068
su2random_3_mqt.py,1,0.021388042099907637,0.021386960794796055
su2random_3_mqt.py,2,0.03519536306956591,0.03518669122873885
qft_6_mqt.py,1,0.1257832035838853,0.12543154318868494
qft_6_mqt.py,2,0.1369378776253416,0.1363274256378422
pe_6_vq.py,1,0.23538841984520809,0.2310151749273831
pe_6_vq.py,2,0.23167532451648928,0.2276673667922483
qft_2_mqt.py,1,0.11120983877946851,0.1110756079997352
qft_2_mqt.py,2,0.10783116585578141,0.10766768343505884
grover_9_vq.py,1,0.2695680852895847,0.25524413203633395
grover_9_vq.py,2,0.27068980666328224,0.25775948903945456
grover-noancilla_4_mqt.py,1,0.12237332808087863,0.12198890632742715
grover-noancilla_4_mqt.py,2,0.2605571865869655,0.2581619860390273
shor_mod21_mqt.py,1,0.0829437057239215,0.0828118920656052
shor_mod21_mqt.py,2,0.11797340019364982,0.11764254602100678
adder_n4_vq.py,1,0.11111922591330786,0.10840592796195231
adder_n4_vq.py,2,0.0879032788766057,0.0828063701589407
simon_vq.py,1,0.0673293144774893,0.0672779135394326
simon_vq.py,2,0.03218446275681063,0.03217831157973224
grover_7_vq.py,1,0.19461775974069123,0.19018061566315822
grover_7_vq.py,2,0.14809564258142524,0.1469859728439097
grover-v-chain_4_mqt.py,1,0.29530461696171295,0.29194560441035244
grover-v-chain_4_mqt.py,2,0.18375555029158136,0.18259375293679822
dj_indep_7_mqt.py,1,0.29108892016196375,0.28478666505341743
dj_indep_7_mqt.py,2,0.19915888027173484,0.19667712112260102
dj_indep_4_mqt.py,1,0.09149094831400031,0.09103979753802502
dj_indep_4_mqt.py,2,0.12091968015868557,0.11908617195207902
grover-noancilla_3_mqt.py,1,0.11001169759177282,0.1091135605371701
grover-noancilla_3_mqt.py,2,0.11032664825145864,0.10893605920368053
qwalk-v-chain_3_mqt.py,1,0.25909801549367645,0.25693650087191744
qwalk-v-chain_3_mqt.py,2,0.29756983340615667,0.29420644913076455
tsp_indep_5_mqt.py,1,0.1361328541814484,0.13564891181455124
tsp_indep_5_mqt.py,2,0.1250776985209635,0.12486537842789532
qaoa_indep_5_mqt.py,1,0.08918134716741721,0.08877535495315561
qaoa_indep_5_mqt.py,2,0.11705740506612579,0.11640896271541824
bv_2_vq.py,1,0.13493973162409878,0.13099323270913543
bv_2_vq.py,2,0.13539675135184584,0.13137172387888899
qwalk-noancilla_3_mqt.py,1,0.19067197551614792,0.18991810373765078
qwalk-noancilla_3_mqt.py,2,0.15956069730905187,0.15910309062219627
grover-v-chain_3_mqt.py,1,0.11702753408369794,0.11609834706419037
grover-v-chain_3_mqt.py,2,0.11554987125071471,0.11383450453123471
pe_4_mqt.py,1,0.23958263134846336,0.2332745148857917
pe_4_mqt.py,2,0.1600505294367198,0.15805582285795275
vqe_indep_4_mqt.py,1,0.1540989851570247,0.15015552179184746
vqe_indep_4_mqt.py,2,0.13498586689161884,0.13289415370795662
qft_3_vq.py,1,0.06489763169526247,0.06483521676009975
qft_3_vq.py,2,0.11815275065939276,0.11772698080986731
grover_3_vq.py,1,0.11062199688834388,0.10959512997082956
