Circuito,Ejecucion,Hellinger
qaoa_indep_5_mqt.py,1,0.2318045475715154
qaoa_indep_5_mqt.py,2,0.09206380590950973
qft_7_vq.py,1,0.2099678049722886
qft_7_vq.py,2,0.20459058171507516
grover_3_vq.py,1,0.16221632619061127
grover_3_vq.py,2,0.1073571561326309
shor_mod21_mqt.py,1,0.04803147978753118
shor_mod21_mqt.py,2,0.23979507866993252
bv_2_vq.py,1,0.16684831553671048
bv_2_vq.py,2,0.12466402090135004
tsp_indep_4_mqt.py,1,0.1087666993175448
tsp_indep_4_mqt.py,2,0.12383108193010058
pe_6_vq.py,1,0.27404424886982837
pe_6_vq.py,2,0.21872313219457834
kickback_7_vq.py,1,0.00813647772197923
kickback_7_vq.py,2,0.007244256953233053
qwalk-noancilla_3_mqt.py,1,0.17686097193798073
qwalk-noancilla_3_mqt.py,2,0.09549813286499843
grover-v-chain_4_mqt.py,1,0.15866106437735192
grover-v-chain_4_mqt.py,2,0.1280528858365045
bv_4_vq.py,1,0.7632279487712695
bv_4_vq.py,2,0.12380594220495146
qft_3_mqt.py,1,0.10544947399167129
qft_3_mqt.py,2,0.24262649050911242
dj_indep_4_mqt.py,1,0.17282257986158825
dj_indep_4_mqt.py,2,0.162475299114434
simon_vq.py,1,0.06775442041935655
simon_vq.py,2,0.016297944177855402
qft_6_mqt.py,1,0.10641634436939895
qft_6_mqt.py,2,0.15523897111477336
vqe_indep_4_mqt.py,1,0.08932388263817445
vqe_indep_4_mqt.py,2,0.13002057324985872
3_17tc_vq.py,1,0.12092621323123656
3_17tc_vq.py,2,0.11936054751663447
qwalk-v-chain_5_mqt.py,1,0.21754996400644955
qwalk-v-chain_5_mqt.py,2,0.10850485343676561
grover-noancilla_3_mqt.py,1,0.09888766186028096
grover-noancilla_3_mqt.py,2,0.21267551605198445
qft_4_mqt.py,1,0.17382772103417726
qft_4_mqt.py,2,0.17241319644827752
grover-v-chain_3_mqt.py,1,0.15100052493020316
grover-v-chain_3_mqt.py,2,0.21382658618523678
bv_5_vq.py,1,0.6524159005006762
bv_5_vq.py,2,0.16051681153320213
shor_mod15_mqt.py,1,0.12015026136389556
shor_mod15_mqt.py,2,0.17967642864028435
qft_2_mqt.py,1,0.07801788242435281
qft_2_mqt.py,2,0.11119009966673601
grover_9_vq.py,1,0.31314863708019336
grover_9_vq.py,2,0.36493922132809714
qft_3_vq.py,1,0.11330201562838367
qft_3_vq.py,2,0.11948933244268828
pe_4_mqt.py,1,0.17517716541204623
pe_4_mqt.py,2,0.2440227212111996
qwalk-v-chain_3_mqt.py,1,0.13032109441852252
qwalk-v-chain_3_mqt.py,2,0.10865074789097179
tsp_indep_5_mqt.py,1,0.12720837611500355
tsp_indep_5_mqt.py,2,0.09138996268892213
dj_indep_7_mqt.py,1,0.6719994966023674
dj_indep_7_mqt.py,2,0.1958590559446882
pe_2_vq.py,1,0.06661603679155959
pe_2_vq.py,2,0.07338024410026756
grover-noancilla_4_mqt.py,1,0.12596034323179692
grover-noancilla_4_mqt.py,2,0.14749900370562136
su2_5_vq.py,1,0.13511718742853393
su2_5_vq.py,2,0.13252396504717162
bv_3_vq.py,1,0.06449892244644956
bv_3_vq.py,2,0.08150150728911579
qaoa_indep_4_mqt.py,1,0.1443629599155857
qaoa_indep_4_mqt.py,2,0.1595475478196795
adder_n4_vq.py,1,0.09902925281725891
adder_n4_vq.py,2,0.1840149756359561
grover_7_vq.py,1,0.351287272751355
grover_7_vq.py,2,0.32265585642730654
pe_5_mqt.py,1,0.25689006949476245
pe_5_mqt.py,2,0.31801458047448045
bv_9_vq.py,1,0.6794312674802602
bv_9_vq.py,2,0.626637198315055
pe_5_vq.py,1,0.6200729552997428
pe_5_vq.py,2,0.5016327540311188
qaoa_indep_3_mqt.py,1,0.11311371642691133
qaoa_indep_3_mqt.py,2,0.10780523073845319
su2random_3_mqt.py,1,0.03398960540543322
su2random_3_mqt.py,2,0.06305088746202413
vqe_indep_5_mqt.py,1,0.45833151918639053
vqe_indep_5_mqt.py,2,0.22424659436554228
adder_n7_vq.py,1,0.11734279763152224
adder_n7_vq.py,2,0.11610488094073021
pe_3_mqt.py,1,0.11624061188705641
pe_3_mqt.py,2,0.15441930629436704
adder_n10_vq.py,1,0.18138898688281474
adder_n10_vq.py,2,0.18484688429172308
dj_indep_5_mqt.py,1,0.06945705195470961
dj_indep_5_mqt.py,2,0.15729324573426937
vqe_indep_3_mqt.py,1,0.09644264525404148
vqe_indep_3_mqt.py,2,0.08905128395831771
pe_7_mqt.py,1,0.23706403228305983
pe_7_mqt.py,2,0.24441038223723516
pe_6_mqt.py,1,0.4277151340865986
pe_6_mqt.py,2,0.519218876709662
