Circuito,Ejecucion,Jensen-Shannon
tsp_indep_4_mqt.py,1,0.16476496830051474
tsp_indep_4_mqt.py,2,0.10851598560330208
qft_3_vq.py,1,0.08611158619522202
qft_3_vq.py,2,0.12907950137836227
shor_mod21_mqt.py,1,0.07616190802587262
shor_mod21_mqt.py,2,0.04648152695896742
qwalk-noancilla_3_mqt.py,1,0.2242223134926566
qwalk-noancilla_3_mqt.py,2,0.16147314764844506
pe_4_mqt.py,1,0.2238526845880987
pe_4_mqt.py,2,0.18999188243103665
qft_4_mqt.py,1,0.18959750990115753
qft_4_mqt.py,2,0.18034994921015338
bv_2_vq.py,1,0.13499345778084415
bv_2_vq.py,2,0.09690483114035175
grover-v-chain_3_mqt.py,1,0.10826518648891029
grover-v-chain_3_mqt.py,2,0.11063386961475569
bv_5_vq.py,1,0.16823171035974335
bv_5_vq.py,2,0.24259911428199296
grover-v-chain_4_mqt.py,1,0.23004155273324112
grover-v-chain_4_mqt.py,2,0.23267229134431155
simon_vq.py,1,0.015401902538838354
simon_vq.py,2,0.015584158961065192
pe_6_vq.py,1,0.2517475408331667
pe_6_vq.py,2,0.5175606731048136
tsp_indep_5_mqt.py,1,0.10844058050803514
tsp_indep_5_mqt.py,2,0.04797012910875033
3_17tc_vq.py,1,0.08312480053882271
3_17tc_vq.py,2,0.054131979511703794
grover_3_vq.py,1,0.11036927055359601
grover_3_vq.py,2,0.143492372093508
qft_6_mqt.py,1,0.11009252968783556
qft_6_mqt.py,2,0.14218483297558165
qaoa_indep_5_mqt.py,1,0.05832441579106187
qaoa_indep_5_mqt.py,2,0.07559653582181694
dj_indep_7_mqt.py,1,0.5974415431428763
dj_indep_7_mqt.py,2,0.12873195081637742
bv_9_vq.py,1,0.2687155457570278
bv_9_vq.py,2,0.6070419233210328
shor_mod15_mqt.py,1,0.0856099149579642
shor_mod15_mqt.py,2,0.11533748369398912
pe_6_mqt.py,1,0.2512957835878954
pe_6_mqt.py,2,0.1832500081215455
adder_n4_vq.py,1,0.07996090328297864
adder_n4_vq.py,2,0.08826549106504472
su2random_3_mqt.py,1,0.044765417520710726
su2random_3_mqt.py,2,0.008467267107206886
qaoa_indep_3_mqt.py,1,0.2097606714897658
qaoa_indep_3_mqt.py,2,0.1261444248775087
vqe_indep_4_mqt.py,1,0.10270622276012967
vqe_indep_4_mqt.py,2,0.11880100297365033
pe_3_mqt.py,1,0.09533567260398235
pe_3_mqt.py,2,0.10377320887832368
grover-noancilla_3_mqt.py,1,0.08876501596712566
grover-noancilla_3_mqt.py,2,0.1504433641025955
qft_7_vq.py,1,0.2203764647361107
qft_7_vq.py,2,0.2106254521901266
pe_2_vq.py,1,0.03601591698874056
pe_2_vq.py,2,0.09423522250652831
pe_5_vq.py,1,0.19597692842333111
pe_5_vq.py,2,0.06789908595829174
qft_3_mqt.py,1,0.10054870352628097
qft_3_mqt.py,2,0.09729047190060078
qwalk-v-chain_3_mqt.py,1,0.26727274461806694
qwalk-v-chain_3_mqt.py,2,0.3076412519382344
grover-noancilla_4_mqt.py,1,0.1342334672106541
grover-noancilla_4_mqt.py,2,0.1483874216672107
bv_4_vq.py,1,0.12494185974236574
bv_4_vq.py,2,0.0937074807608313
dj_indep_4_mqt.py,1,0.11764286083795357
dj_indep_4_mqt.py,2,0.08477567956420845
grover_9_vq.py,1,0.25107949338629254
grover_9_vq.py,2,0.16919883979548034
bv_3_vq.py,1,0.07724067189368639
bv_3_vq.py,2,0.0490752557679867
qft_2_mqt.py,1,0.09526685346753089
qft_2_mqt.py,2,0.09935158662220833
su2_5_vq.py,1,0.10762858866843046
su2_5_vq.py,2,0.11942848747122081
kickback_7_vq.py,1,0.013663089734380855
kickback_7_vq.py,2,0.006731854542356143
qwalk-v-chain_5_mqt.py,1,0.09792626091631776
qwalk-v-chain_5_mqt.py,2,0.11101017743869011
grover_7_vq.py,1,0.3377043318265238
grover_7_vq.py,2,0.13100060376603218
pe_5_mqt.py,1,0.32664529074070364
pe_5_mqt.py,2,0.25617672573812716
qaoa_indep_4_mqt.py,1,0.07817989980428838
qaoa_indep_4_mqt.py,2,0.11503966576819964
vqe_indep_3_mqt.py,1,0.08990932017816176
vqe_indep_3_mqt.py,2,0.0927704000079156
adder_n10_vq.py,1,0.2772290255005687
adder_n10_vq.py,2,0.23442804889883423
dj_indep_5_mqt.py,1,0.191680509965176
dj_indep_5_mqt.py,2,0.12107323871446422
adder_n7_vq.py,1,0.1285393463609914
adder_n7_vq.py,2,0.555903203881982
vqe_indep_5_mqt.py,1,0.18480942356688876
vqe_indep_5_mqt.py,2,0.09646441472422562
pe_7_mqt.py,1,0.2788815694306415
pe_7_mqt.py,2,0.2442786320272354
