Circuito,Ejecucion,Hellinger,Jensen-Shannon
qft_6_mqt.py,1,0.06874261630603527,0.06863940468163654
qft_6_mqt.py,2,0.09421422642447576,0.09394032867600247
3_17tc_vq.py,1,0.08281289354820434,0.08259914252269118
3_17tc_vq.py,2,0.06956682369456496,0.06944989609076416
simon_vq.py,1,0.03499530887813793,0.03498853894450978
simon_vq.py,2,0.04968832368297007,0.04967037113466466
grover-v-chain_3_mqt.py,1,0.1154675723287211,0.11452698264226177
grover-v-chain_3_mqt.py,2,0.12061161068788132,0.11841518897956008
qwalk-v-chain_5_mqt.py,1,0.10512968147309446,0.10491517743252811
qwalk-v-chain_5_mqt.py,2,0.10321174292749973,0.10300740927609923
qwalk-noancilla_3_mqt.py,1,0.204692187302416,0.20377577902699176
qwalk-noancilla_3_mqt.py,2,0.22923407266752757,0.22797914437375447
adder_n7_vq.py,1,0.17016427847349963,0.1612212155208367
adder_n7_vq.py,2,0.19697061185039313,0.18992378194925788
bv_5_vq.py,1,0.12660113980341256,0.12536325580380292
bv_5_vq.py,2,0.13309763500612112,0.13065321006844743
kickback_7_vq.py,1,0.009465525269796335,0.009465454219441685
kickback_7_vq.py,2,0.0063140314583822596,0.00631401039561088
shor_mod15_mqt.py,1,0.15694780893307508,0.15298340663518836
shor_mod15_mqt.py,2,0.46385564480684327,0.44425635208215103
grover-noancilla_3_mqt.py,1,0.11340402263894678,0.11231292829411292
grover-noancilla_3_mqt.py,2,0.1195976724319677,0.1184032052129673
qft_2_mqt.py,1,0.10287035313257206,0.10275290167973629
qft_2_mqt.py,2,0.11578038933508993,0.11561500289718966
su2random_3_mqt.py,1,0.04073816136069874,0.04072319357358129
su2random_3_mqt.py,2,0.02816938212928158,0.02816420343349013
qwalk-v-chain_3_mqt.py,1,0.23176721607490622,0.2303954653451682
qwalk-v-chain_3_mqt.py,2,0.29949012441913214,0.29641494701577215
qft_3_mqt.py,1,0.07829825528405927,0.07823749604658285
qft_3_mqt.py,2,0.08449770957631181,0.08442615060991208
tsp_indep_4_mqt.py,1,0.11316031818731451,0.11260116444992942
tsp_indep_4_mqt.py,2,0.09379403464538162,0.09329463439152279
su2_5_vq.py,1,0.1506367657812672,0.14663663223800938
su2_5_vq.py,2,0.1664644040495811,0.16326439982714838
qft_7_vq.py,1,0.2501933841359558,0.24693219425547364
qft_7_vq.py,2,0.2153443879768986,0.21305788754181992
bv_9_vq.py,1,0.3772521995358263,0.3533265993239982
bv_9_vq.py,2,0.3004085983564828,0.28548514744520587
qft_3_vq.py,1,0.11007072754417138,0.10972768723960459
qft_3_vq.py,2,0.13034643137399074,0.1298751600833708
grover_7_vq.py,1,0.13732196517826956,0.13623875902038332
grover_7_vq.py,2,0.13364294222115147,0.13257897023081128
bv_3_vq.py,1,0.22268142930937854,0.2194316542069551
bv_3_vq.py,2,0.11224870310012662,0.11077962028505609
vqe_indep_3_mqt.py,1,0.1134977132256112,0.11259963934857764
vqe_indep_3_mqt.py,2,0.1118364006425799,0.1101506064588508
shor_mod21_mqt.py,1,0.13790840033270552,0.1374858814470123
shor_mod21_mqt.py,2,0.05358415348729209,0.05353535254287079
qaoa_indep_4_mqt.py,1,0.1415294225742717,0.1402828714365273
qaoa_indep_4_mqt.py,2,0.177031371898212,0.17482085199560096
grover-v-chain_4_mqt.py,1,0.21947129192447176,0.2179380352409532
grover-v-chain_4_mqt.py,2,0.2536168076954373,0.25152332321355614
grover-noancilla_4_mqt.py,1,0.12097012746765101,0.12066709074791038
grover-noancilla_4_mqt.py,2,0.1595517343653942,0.1589699702045605
bv_2_vq.py,1,0.025201414804823786,0.025143632298391543
bv_2_vq.py,2,0.0864593340845315,0.08540450283163456
grover_9_vq.py,1,0.3217332009932575,0.30695305617550717
grover_9_vq.py,2,0.5131460837362908,0.48402408915653683
bv_4_vq.py,1,0.26450949226016945,0.25826767032473313
bv_4_vq.py,2,0.1188309315528761,0.11774823266345727
vqe_indep_5_mqt.py,1,0.11441543173949878,0.11279466549111901
vqe_indep_5_mqt.py,2,0.14563836283453957,0.14282645354025605
pe_4_mqt.py,1,0.23629635917905076,0.23037818462781762
pe_4_mqt.py,2,0.24780029065799036,0.2408782741148712
pe_5_mqt.py,1,0.26408142241573845,0.25894709102912855
pe_5_mqt.py,2,0.216324504240301,0.2130430844727673
adder_n10_vq.py,1,0.44446413747705654,0.4201342012046696
adder_n10_vq.py,2,0.21758501321337634,0.1985967163504934
qft_4_mqt.py,1,0.21408389236401598,0.21250268162202665
qft_4_mqt.py,2,0.13175020897872178,0.13127374909600145
tsp_indep_5_mqt.py,1,0.1020221245457125,0.10186830501393686
tsp_indep_5_mqt.py,2,0.0993608436383864,0.09918429786062362
qaoa_indep_3_mqt.py,1,0.181379471371526,0.18022181067682788
qaoa_indep_3_mqt.py,2,0.09057769592849449,0.09038850600392893
pe_5_vq.py,1,0.6172707331068309,0.5836061797399001
pe_5_vq.py,2,0.6098487966651722,0.5773491232061104
dj_indep_5_mqt.py,1,0.12403591269967067,0.12308634300347308
dj_indep_5_mqt.py,2,0.1443472964063914,0.14136726593348148
pe_2_vq.py,1,0.11382307868158434,0.11194245668242528
pe_2_vq.py,2,0.054412081850860834,0.054189959493100626
grover_3_vq.py,1,0.14106650262315698,0.13829554601182265
grover_3_vq.py,2,0.117950388116062,0.11667939904168517
pe_3_mqt.py,1,0.1311008937378901,0.1295517374864688
pe_3_mqt.py,2,0.1183619210839764,0.11634949428927356
pe_6_mqt.py,1,0.17416805792322407,0.17179158646570555
pe_6_mqt.py,2,0.17811300938294788,0.1760612253619197
pe_6_vq.py,1,0.3127110621540537,0.3081248828393019
pe_6_vq.py,2,0.21703309145407645,0.2142446805896682
qaoa_indep_5_mqt.py,1,0.07832530404440889,0.07814859347784062
qaoa_indep_5_mqt.py,2,0.09813900276638467,0.0976561840505728
dj_indep_4_mqt.py,1,0.12121427604927112,0.11970794469854325
dj_indep_4_mqt.py,2,0.09227981271640426,0.09166135875804621
adder_n4_vq.py,1,0.10263266889273678,0.09627769862448746
adder_n4_vq.py,2,0.07671292347979108,0.07593730382605031
vqe_indep_4_mqt.py,1,0.10705818870244074,0.1057165477910887
vqe_indep_4_mqt.py,2,0.12818206573981805,0.12621793038584014
dj_indep_7_mqt.py,1,0.3389555909935374,0.32665367911813176
dj_indep_7_mqt.py,2,0.24114724819275946,0.2345841887669648
pe_7_mqt.py,1,0.12833948601556827,0.1274366501447248
pe_7_mqt.py,2,0.1510726456809687,0.1503794466954605
