Circuito,Ejecucion,Hellinger
qft_6_mqt.py,1,0.06874261630603527
qft_6_mqt.py,2,0.09421422642447576
3_17tc_vq.py,1,0.08281289354820434
3_17tc_vq.py,2,0.06956682369456496
simon_vq.py,1,0.03499530887813793
simon_vq.py,2,0.04968832368297007
grover-v-chain_3_mqt.py,1,0.1154675723287211
grover-v-chain_3_mqt.py,2,0.12061161068788132
qwalk-v-chain_5_mqt.py,1,0.10512968147309446
qwalk-v-chain_5_mqt.py,2,0.10321174292749973
qwalk-noancilla_3_mqt.py,1,0.204692187302416
qwalk-noancilla_3_mqt.py,2,0.22923407266752757
adder_n7_vq.py,1,0.17016427847349963
adder_n7_vq.py,2,0.19697061185039313
bv_5_vq.py,1,0.12660113980341256
bv_5_vq.py,2,0.13309763500612112
kickback_7_vq.py,1,0.009465525269796335
kickback_7_vq.py,2,0.0063140314583822596
shor_mod15_mqt.py,1,0.15694780893307508
shor_mod15_mqt.py,2,0.46385564480684327
grover-noancilla_3_mqt.py,1,0.11340402263894678
grover-noancilla_3_mqt.py,2,0.1195976724319677
qft_2_mqt.py,1,0.10287035313257206
qft_2_mqt.py,2,0.11578038933508993
su2random_3_mqt.py,1,0.04073816136069874
su2random_3_mqt.py,2,0.02816938212928158
qwalk-v-chain_3_mqt.py,1,0.23176721607490622
qwalk-v-chain_3_mqt.py,2,0.29949012441913214
qft_3_mqt.py,1,0.07829825528405927
qft_3_mqt.py,2,0.08449770957631181
tsp_indep_4_mqt.py,1,0.11316031818731451
tsp_indep_4_mqt.py,2,0.09379403464538162
su2_5_vq.py,1,0.1506367657812672
su2_5_vq.py,2,0.1664644040495811
qft_7_vq.py,1,0.2501933841359558
qft_7_vq.py,2,0.2153443879768986
bv_9_vq.py,1,0.3772521995358263
bv_9_vq.py,2,0.3004085983564828
qft_3_vq.py,1,0.11007072754417138
qft_3_vq.py,2,0.13034643137399074
grover_7_vq.py,1,0.13732196517826956
grover_7_vq.py,2,0.13364294222115147
bv_3_vq.py,1,0.22268142930937854
bv_3_vq.py,2,0.11224870310012662
vqe_indep_3_mqt.py,1,0.1134977132256112
vqe_indep_3_mqt.py,2,0.1118364006425799
shor_mod21_mqt.py,1,0.13790840033270552
shor_mod21_mqt.py,2,0.05358415348729209
qaoa_indep_4_mqt.py,1,0.1415294225742717
qaoa_indep_4_mqt.py,2,0.177031371898212
grover-v-chain_4_mqt.py,1,0.21947129192447176
grover-v-chain_4_mqt.py,2,0.2536168076954373
grover-noancilla_4_mqt.py,1,0.12097012746765101
grover-noancilla_4_mqt.py,2,0.1595517343653942
bv_2_vq.py,1,0.025201414804823786
bv_2_vq.py,2,0.0864593340845315
grover_9_vq.py,1,0.3217332009932575
grover_9_vq.py,2,0.5131460837362908
bv_4_vq.py,1,0.26450949226016945
bv_4_vq.py,2,0.1188309315528761
vqe_indep_5_mqt.py,1,0.11441543173949878
vqe_indep_5_mqt.py,2,0.14563836283453957
pe_4_mqt.py,1,0.23629635917905076
pe_4_mqt.py,2,0.24780029065799036
pe_5_mqt.py,1,0.26408142241573845
pe_5_mqt.py,2,0.216324504240301
adder_n10_vq.py,1,0.44446413747705654
adder_n10_vq.py,2,0.21758501321337634
qft_4_mqt.py,1,0.21408389236401598
qft_4_mqt.py,2,0.13175020897872178
tsp_indep_5_mqt.py,1,0.1020221245457125
tsp_indep_5_mqt.py,2,0.0993608436383864
qaoa_indep_3_mqt.py,1,0.181379471371526
qaoa_indep_3_mqt.py,2,0.09057769592849449
pe_5_vq.py,1,0.6172707331068309
pe_5_vq.py,2,0.6098487966651722
dj_indep_5_mqt.py,1,0.12403591269967067
dj_indep_5_mqt.py,2,0.1443472964063914
pe_2_vq.py,1,0.11382307868158434
pe_2_vq.py,2,0.054412081850860834
grover_3_vq.py,1,0.14106650262315698
grover_3_vq.py,2,0.117950388116062
pe_3_mqt.py,1,0.1311008937378901
pe_3_mqt.py,2,0.1183619210839764
pe_6_mqt.py,1,0.17416805792322407
pe_6_mqt.py,2,0.17811300938294788
pe_6_vq.py,1,0.3127110621540537
pe_6_vq.py,2,0.21703309145407645
qaoa_indep_5_mqt.py,1,0.07832530404440889
qaoa_indep_5_mqt.py,2,0.09813900276638467
dj_indep_4_mqt.py,1,0.12121427604927112
dj_indep_4_mqt.py,2,0.09227981271640426
adder_n4_vq.py,1,0.10263266889273678
adder_n4_vq.py,2,0.07671292347979108
vqe_indep_4_mqt.py,1,0.10705818870244074
vqe_indep_4_mqt.py,2,0.12818206573981805
dj_indep_7_mqt.py,1,0.3389555909935374
dj_indep_7_mqt.py,2,0.24114724819275946
pe_7_mqt.py,1,0.12833948601556827
pe_7_mqt.py,2,0.1510726456809687
