Circuito,Ejecucion,Jensen-Shannon
qft_6_mqt.py,1,0.06863940468163654
qft_6_mqt.py,2,0.09394032867600247
3_17tc_vq.py,1,0.08259914252269118
3_17tc_vq.py,2,0.06944989609076416
simon_vq.py,1,0.03498853894450978
simon_vq.py,2,0.04967037113466466
grover-v-chain_3_mqt.py,1,0.11452698264226177
grover-v-chain_3_mqt.py,2,0.11841518897956008
qwalk-v-chain_5_mqt.py,1,0.10491517743252811
qwalk-v-chain_5_mqt.py,2,0.10300740927609923
qwalk-noancilla_3_mqt.py,1,0.20377577902699176
qwalk-noancilla_3_mqt.py,2,0.22797914437375447
adder_n7_vq.py,1,0.1612212155208367
adder_n7_vq.py,2,0.18992378194925788
bv_5_vq.py,1,0.12536325580380292
bv_5_vq.py,2,0.13065321006844743
kickback_7_vq.py,1,0.009465454219441685
kickback_7_vq.py,2,0.00631401039561088
shor_mod15_mqt.py,1,0.15298340663518836
shor_mod15_mqt.py,2,0.44425635208215103
grover-noancilla_3_mqt.py,1,0.11231292829411292
grover-noancilla_3_mqt.py,2,0.1184032052129673
qft_2_mqt.py,1,0.10275290167973629
qft_2_mqt.py,2,0.11561500289718966
su2random_3_mqt.py,1,0.04072319357358129
su2random_3_mqt.py,2,0.02816420343349013
qwalk-v-chain_3_mqt.py,1,0.2303954653451682
qwalk-v-chain_3_mqt.py,2,0.29641494701577215
qft_3_mqt.py,1,0.07823749604658285
qft_3_mqt.py,2,0.08442615060991208
tsp_indep_4_mqt.py,1,0.11260116444992942
tsp_indep_4_mqt.py,2,0.09329463439152279
su2_5_vq.py,1,0.14663663223800938
su2_5_vq.py,2,0.16326439982714838
qft_7_vq.py,1,0.24693219425547364
qft_7_vq.py,2,0.21305788754181992
bv_9_vq.py,1,0.3533265993239982
bv_9_vq.py,2,0.28548514744520587
qft_3_vq.py,1,0.10972768723960459
qft_3_vq.py,2,0.1298751600833708
grover_7_vq.py,1,0.13623875902038332
grover_7_vq.py,2,0.13257897023081128
bv_3_vq.py,1,0.2194316542069551
bv_3_vq.py,2,0.11077962028505609
vqe_indep_3_mqt.py,1,0.11259963934857764
vqe_indep_3_mqt.py,2,0.1101506064588508
shor_mod21_mqt.py,1,0.1374858814470123
shor_mod21_mqt.py,2,0.05353535254287079
qaoa_indep_4_mqt.py,1,0.1402828714365273
qaoa_indep_4_mqt.py,2,0.17482085199560096
grover-v-chain_4_mqt.py,1,0.2179380352409532
grover-v-chain_4_mqt.py,2,0.25152332321355614
grover-noancilla_4_mqt.py,1,0.12066709074791038
grover-noancilla_4_mqt.py,2,0.1589699702045605
bv_2_vq.py,1,0.025143632298391543
bv_2_vq.py,2,0.08540450283163456
grover_9_vq.py,1,0.30695305617550717
grover_9_vq.py,2,0.48402408915653683
bv_4_vq.py,1,0.25826767032473313
bv_4_vq.py,2,0.11774823266345727
vqe_indep_5_mqt.py,1,0.11279466549111901
vqe_indep_5_mqt.py,2,0.14282645354025605
pe_4_mqt.py,1,0.23037818462781762
pe_4_mqt.py,2,0.2408782741148712
pe_5_mqt.py,1,0.25894709102912855
pe_5_mqt.py,2,0.2130430844727673
adder_n10_vq.py,1,0.4201342012046696
adder_n10_vq.py,2,0.1985967163504934
qft_4_mqt.py,1,0.21250268162202665
qft_4_mqt.py,2,0.13127374909600145
tsp_indep_5_mqt.py,1,0.10186830501393686
tsp_indep_5_mqt.py,2,0.09918429786062362
qaoa_indep_3_mqt.py,1,0.18022181067682788
qaoa_indep_3_mqt.py,2,0.09038850600392893
pe_5_vq.py,1,0.5836061797399001
pe_5_vq.py,2,0.5773491232061104
dj_indep_5_mqt.py,1,0.12308634300347308
dj_indep_5_mqt.py,2,0.14136726593348148
pe_2_vq.py,1,0.11194245668242528
pe_2_vq.py,2,0.054189959493100626
grover_3_vq.py,1,0.13829554601182265
grover_3_vq.py,2,0.11667939904168517
pe_3_mqt.py,1,0.1295517374864688
pe_3_mqt.py,2,0.11634949428927356
pe_6_mqt.py,1,0.17179158646570555
pe_6_mqt.py,2,0.1760612253619197
pe_6_vq.py,1,0.3081248828393019
pe_6_vq.py,2,0.2142446805896682
qaoa_indep_5_mqt.py,1,0.07814859347784062
qaoa_indep_5_mqt.py,2,0.0976561840505728
dj_indep_4_mqt.py,1,0.11970794469854325
dj_indep_4_mqt.py,2,0.09166135875804621
adder_n4_vq.py,1,0.09627769862448746
adder_n4_vq.py,2,0.07593730382605031
vqe_indep_4_mqt.py,1,0.1057165477910887
vqe_indep_4_mqt.py,2,0.12621793038584014
dj_indep_7_mqt.py,1,0.32665367911813176
dj_indep_7_mqt.py,2,0.2345841887669648
pe_7_mqt.py,1,0.1274366501447248
pe_7_mqt.py,2,0.1503794466954605
