Modo,Fecha_Hora,Circuito,Circuit_Qubits,Total_Qubits_Iteracion,Circuitos_Iteracion,Circuit_Cost,Iteration_Cost,Ahorro_Circuito
Local Completo,2026-09-21 12:24:25,qaoa_indep_5_mqt.py,9,61,7,0.7377049180327868,5.0,4.262295081967213
Local Completo,2026-09-21 12:24:25,qft_7_vq.py,13,61,7,1.0655737704918031,5.0,3.9344262295081966
Local Completo,2026-09-21 12:24:25,grover_3_vq.py,5,61,7,0.40983606557377045,5.0,4.590163934426229
Local Completo,2026-09-21 12:24:25,shor_mod21_mqt.py,11,61,7,0.9016393442622951,5.0,4.098360655737705
Local Completo,2026-09-21 12:24:25,bv_2_vq.py,3,61,7,0.2459016393442623,5.0,4.754098360655738
Local Completo,2026-09-21 12:24:25,tsp_indep_4_mqt.py,7,61,7,0.5737704918032787,5.0,4.426229508196721
Local Completo,2026-09-21 12:24:25,shor_mod21_mqt.py,13,61,7,1.0655737704918031,5.0,3.9344262295081966
Local Completo,2026-09-21 12:24:32,pe_6_vq.py,11,40,5,1.375,5.0,3.625
Local Completo,2026-09-21 12:24:32,kickback_7_vq.py,11,40,5,1.375,5.0,3.625
Local Completo,2026-09-21 12:24:32,qwalk-noancilla_3_mqt.py,6,40,5,0.75,5.0,4.25
Local Completo,2026-09-21 12:24:32,qwalk-noancilla_3_mqt.py,6,40,5,0.75,5.0,4.25
Local Completo,2026-09-21 12:24:32,grover-v-chain_4_mqt.py,6,40,5,0.75,5.0,4.25
Local Completo,2026-09-21 12:24:33,bv_4_vq.py,8,12,2,3.333333333333333,5.0,1.666666666666667
Local Completo,2026-09-21 12:24:33,qft_3_mqt.py,4,12,2,1.6666666666666665,5.0,3.3333333333333335
Local Completo,2026-09-21 12:24:37,dj_indep_4_mqt.py,5,49,6,0.5102040816326531,5.0,4.489795918367347
Local Completo,2026-09-21 12:24:37,simon_vq.py,10,49,6,1.0204081632653061,5.0,3.979591836734694
Local Completo,2026-09-21 12:24:37,qft_6_mqt.py,11,49,6,1.1224489795918366,5.0,3.8775510204081636
Local Completo,2026-09-21 12:24:37,vqe_indep_4_mqt.py,6,49,6,0.6122448979591837,5.0,4.387755102040816
Local Completo,2026-09-21 12:24:37,simon_vq.py,11,49,6,1.1224489795918366,5.0,3.8775510204081636
Local Completo,2026-09-21 12:24:37,3_17tc_vq.py,6,49,6,0.6122448979591837,5.0,4.387755102040816
Local Completo,2026-09-21 12:24:48,qwalk-v-chain_5_mqt.py,9,52,8,0.8653846153846154,5.0,4.134615384615385
Local Completo,2026-09-21 12:24:48,grover-noancilla_3_mqt.py,5,52,8,0.4807692307692308,5.0,4.519230769230769
Local Completo,2026-09-21 12:24:48,qft_4_mqt.py,7,52,8,0.673076923076923,5.0,4.326923076923077
Local Completo,2026-09-21 12:24:48,grover-v-chain_3_mqt.py,5,52,8,0.4807692307692308,5.0,4.519230769230769
Local Completo,2026-09-21 12:24:48,bv_5_vq.py,10,52,8,0.9615384615384616,5.0,4.038461538461538
Local Completo,2026-09-21 12:24:48,shor_mod15_mqt.py,9,52,8,0.8653846153846154,5.0,4.134615384615385
Local Completo,2026-09-21 12:24:48,qft_2_mqt.py,3,52,8,0.2884615384615385,5.0,4.711538461538462
Local Completo,2026-09-21 12:24:48,qft_2_mqt.py,4,52,8,0.38461538461538464,5.0,4.615384615384615
Local Completo,2026-09-21 12:24:55,grover_9_vq.py,12,54,7,1.1111111111111112,5.0,3.888888888888889
Local Completo,2026-09-21 12:24:55,qft_3_vq.py,5,54,7,0.4629629629629629,5.0,4.537037037037037
Local Completo,2026-09-21 12:24:55,pe_4_mqt.py,7,54,7,0.6481481481481481,5.0,4.351851851851852
Local Completo,2026-09-21 12:24:55,qwalk-v-chain_3_mqt.py,6,54,7,0.5555555555555556,5.0,4.444444444444445
Local Completo,2026-09-21 12:24:55,tsp_indep_5_mqt.py,7,54,7,0.6481481481481481,5.0,4.351851851851852
Local Completo,2026-09-21 12:24:55,dj_indep_7_mqt.py,13,54,7,1.2037037037037037,5.0,3.7962962962962963
Local Completo,2026-09-21 12:24:55,pe_2_vq.py,4,54,7,0.37037037037037035,5.0,4.62962962962963
Local Completo,2026-09-21 12:25:01,tsp_indep_4_mqt.py,5,49,8,0.5102040816326531,5.0,4.489795918367347
Local Completo,2026-09-21 12:25:01,grover-noancilla_4_mqt.py,7,49,8,0.7142857142857142,5.0,4.285714285714286
Local Completo,2026-09-21 12:25:01,3_17tc_vq.py,5,49,8,0.5102040816326531,5.0,4.489795918367347
Local Completo,2026-09-21 12:25:01,su2_5_vq.py,7,49,8,0.7142857142857142,5.0,4.285714285714286
Local Completo,2026-09-21 12:25:01,bv_4_vq.py,7,49,8,0.7142857142857142,5.0,4.285714285714286
Local Completo,2026-09-21 12:25:01,bv_3_vq.py,7,49,8,0.7142857142857142,5.0,4.285714285714286
Local Completo,2026-09-21 12:25:01,bv_2_vq.py,3,49,8,0.30612244897959184,5.0,4.6938775510204085
Local Completo,2026-09-21 12:25:01,qaoa_indep_4_mqt.py,8,49,8,0.8163265306122448,5.0,4.183673469387755
Local Completo,2026-09-21 12:25:06,adder_n4_vq.py,5,5,1,5.0,5.0,0.0
Local Completo,2026-09-21 12:25:07,grover-v-chain_4_mqt.py,7,48,5,0.7291666666666667,5.0,4.270833333333333
Local Completo,2026-09-21 12:25:07,grover_7_vq.py,10,48,5,1.0416666666666667,5.0,3.958333333333333
Local Completo,2026-09-21 12:25:07,pe_5_mqt.py,10,48,5,1.0416666666666667,5.0,3.958333333333333
Local Completo,2026-09-21 12:25:07,bv_9_vq.py,15,48,5,1.5625,5.0,3.4375
Local Completo,2026-09-21 12:25:07,pe_4_mqt.py,6,48,5,0.625,5.0,4.375
Local Completo,2026-09-21 12:25:11,shor_mod15_mqt.py,9,41,5,1.0975609756097562,5.0,3.902439024390244
Local Completo,2026-09-21 12:25:11,tsp_indep_5_mqt.py,8,41,5,0.975609756097561,5.0,4.024390243902439
Local Completo,2026-09-21 12:25:11,bv_5_vq.py,10,41,5,1.2195121951219512,5.0,3.7804878048780486
Local Completo,2026-09-21 12:25:11,adder_n4_vq.py,7,41,5,0.853658536585366,5.0,4.146341463414634
Local Completo,2026-09-21 12:25:11,qft_3_vq.py,7,41,5,0.853658536585366,5.0,4.146341463414634
Local Completo,2026-09-21 12:25:15,qwalk-v-chain_3_mqt.py,4,56,8,0.3571428571428571,5.0,4.642857142857143
Local Completo,2026-09-21 12:25:15,pe_5_vq.py,9,56,8,0.8035714285714286,5.0,4.196428571428571
Local Completo,2026-09-21 12:25:15,bv_3_vq.py,5,56,8,0.44642857142857145,5.0,4.553571428571429
