Modo,Circuitos_Validos,Iteraciones_Paralelas,Precio_Iteracion,Coste_Sin_Agrupacion,Coste_Con_Agrupacion,Ahorro,Ahorro_Porcentaje,Filas_Sin_Qubits
Local Completo,100,19,5.0,500.0,95.0,405.0,81.0,0
Local DD,100,14,5.0,500.0,70.0,430.0,86.0,0
Local Robust,100,15,5.0,500.0,75.0,425.0,85.0,0
Local Standard,100,18,5.0,500.0,90.0,410.0,82.0,0
Local T1 decay,100,19,5.0,500.0,95.0,405.0,81.0,0
Global Completo,100,17,5.0,500.0,85.0,415.0,83.0,0
Global DD,100,10,5.0,500.0,50.0,450.0,90.0,0
Global Robust,100,15,5.0,500.0,75.0,425.0,85.0,0
Global Standard,100,17,5.0,500.0,85.0,415.0,83.0,0
Global T1 decay,100,16,5.0,500.0,80.0,420.0,84.0,0
Dynamic T1,100,14,5.0,500.0,70.0,430.0,86.0,0
Dynamic Ramsey,100,15,5.0,500.0,75.0,425.0,85.0,0
Dynamic Local T1,100,17,5.0,500.0,85.0,415.0,83.0,0
Dynamic Local Ramsey,100,18,5.0,500.0,90.0,410.0,82.0,0
Dynamic Local Initial T1,100,17,5.0,500.0,85.0,415.0,83.0,0
Dynamic Local Initial Ramsey,100,18,5.0,500.0,90.0,410.0,82.0,0
