Circuito,Posicion,Hellinger,Jensen-Shannon,Modo
tsp_indep_4_mqt.py,1,,,Global Completo
qwalk-v-chain_5_mqt.py,2,,,Global Completo
vqe_indep_5_mqt.py,3,,,Global Completo
grover_9_vq.py,4,,,Global Completo
qwalk-v-chain_5_mqt.py,5,,,Global Completo
tsp_indep_5_mqt.py,6,,,Global Completo
tsp_indep_4_mqt.py,7,,,Global Completo
pe_6_mqt.py,8,0.585699908330914,0.5107544695822127,Global Completo
grover-noancilla_4_mqt.py,9,0.5783479851183186,0.5012137818039258,Global Completo
qwalk-noancilla_3_mqt.py,10,0.4804065614903239,0.41496762314633473,Global Completo
qaoa_indep_3_mqt.py,11,0.5496844020266595,0.47576900475613726,Global Completo
qwalk-noancilla_3_mqt.py,12,0.5590281346699845,0.48439665307987645,Global Completo
simon_vq.py,13,0.5495676386863899,0.47408091439097017,Global Completo
qaoa_indep_4_mqt.py,14,0.48344587202376166,0.4222961024649229,Global Completo
pe_3_mqt.py,15,0.41916587335405214,0.38728119038291414,Global Completo
bv_3_vq.py,16,0.18119070635913057,0.1618976312931544,Global Completo
simon_vq.py,17,0.16436799527077114,0.16355592429784643,Global Completo
vqe_indep_5_mqt.py,18,0.3168374418565717,0.2696336471033406,Global Completo
pe_4_mqt.py,19,0.32177579186759897,0.27117636920359683,Global Completo
pe_6_vq.py,20,0.5213101462400362,0.4724265263037739,Global Completo
vqe_indep_3_mqt.py,21,0.19231368539040197,0.16957329491709777,Global Completo
bv_9_vq.py,22,0.5284753948132271,0.45793146973183946,Global Completo
pe_5_mqt.py,23,0.4785587764453828,0.422642223296163,Global Completo
qft_6_mqt.py,24,0.7077257996863968,0.617068278536398,Global Completo
grover-v-chain_3_mqt.py,25,0.2588903534885029,0.25101578294344234,Global Completo
pe_5_vq.py,26,0.366292021580697,0.31827455184662456,Global Completo
shor_mod21_mqt.py,27,0.40936917566043696,0.35634840554681674,Global Completo
3_17tc_vq.py,28,0.20317922408539243,0.17509717635423272,Global Completo
adder_n10_vq.py,29,,,Global Completo
pe_3_mqt.py,30,,,Global Completo
grover-v-chain_4_mqt.py,31,,,Global Completo
shor_mod21_mqt.py,32,,,Global Completo
qaoa_indep_3_mqt.py,33,,,Global Completo
pe_6_mqt.py,34,,,Global Completo
pe_2_vq.py,35,,,Global Completo
qaoa_indep_4_mqt.py,36,0.22020543712760643,0.20455981647715288,Global Completo
3_17tc_vq.py,37,0.1382181665726529,0.13702278078881275,Global Completo
grover_3_vq.py,38,0.07361828842306065,0.07304457065364753,Global Completo
bv_3_vq.py,39,0.14499481790445332,0.13900475285901345,Global Completo
bv_9_vq.py,40,0.5173844855520718,0.4669095754166842,Global Completo
bv_5_vq.py,41,0.13554954629422783,0.12648607385010444,Global Completo
kickback_7_vq.py,42,0.004649368861863372,0.00464936045714833,Global Completo
bv_5_vq.py,43,0.27781186281725684,0.26163403457489925,Global Completo
qft_2_mqt.py,44,0.12206133048153255,0.12186750943993038,Global Completo
pe_6_vq.py,45,0.5802370566664284,0.4999884171871265,Global Completo
qwalk-v-chain_3_mqt.py,46,0.7938956915447248,0.6959243238105539,Global Completo
grover_7_vq.py,47,0.9011753756730376,0.7849649125420709,Global Completo
qft_7_vq.py,48,0.9654929829722986,0.8236892563394606,Global Completo
grover-noancilla_3_mqt.py,49,0.3047320828299374,0.2562936193219136,Global Completo
grover-noancilla_3_mqt.py,50,0.3047320828299374,0.2562936193219136,Global Completo
qft_7_vq.py,51,,,Global Completo
adder_n7_vq.py,52,,,Global Completo
grover_9_vq.py,53,,,Global Completo
vqe_indep_4_mqt.py,54,,,Global Completo
vqe_indep_3_mqt.py,55,,,Global Completo
vqe_indep_4_mqt.py,56,,,Global Completo
qft_4_mqt.py,57,,,Global Completo
qft_4_mqt.py,58,0.5558687565927457,0.48005715439897184,Global Completo
shor_mod15_mqt.py,59,0.24387463639258614,0.2222129467406796,Global Completo
qft_6_mqt.py,60,0.7449104778862593,0.6510146333859694,Global Completo
tsp_indep_5_mqt.py,61,0.3128416506187133,0.27906401897172084,Global Completo
qft_3_mqt.py,62,0.31233830394772,0.2879351859459111,Global Completo
pe_2_vq.py,63,0.2557820626131741,0.22939306360123546,Global Completo
qwalk-v-chain_3_mqt.py,64,0.43500679134308706,0.3813308151013422,Global Completo
qft_2_mqt.py,65,0.06417837327288478,0.06414459121504439,Global Completo
grover_3_vq.py,66,0.16512729021911696,0.16093126960985168,Global Completo
bv_2_vq.py,67,0.12166392767188577,0.11862157380380604,Global Completo
dj_indep_5_mqt.py,68,0.12970489808138205,0.12778874256151498,Global Completo
qft_3_vq.py,69,0.08928227859393649,0.08911651632320074,Global Completo
qft_3_vq.py,70,0.1156632795459211,0.11526308497835282,Global Completo
grover-v-chain_3_mqt.py,71,0.14428066209640658,0.14164650566653353,Global Completo
dj_indep_7_mqt.py,72,0.7960977708634883,0.7185892526160034,Global Completo
bv_2_vq.py,73,0.05914958529086676,0.05882564920009953,Global Completo
dj_indep_7_mqt.py,74,0.4407683018318347,0.3869282203760541,Global Completo
adder_n4_vq.py,75,0.23768864710102214,0.19912112829429532,Global Completo
adder_n4_vq.py,76,0.19687767220068755,0.1648061089885797,Global Completo
bv_4_vq.py,77,0.2401038654380558,0.20924536081635806,Global Completo
dj_indep_5_mqt.py,78,0.29571308653397366,0.26020111109723637,Global Completo
grover-noancilla_4_mqt.py,79,0.5291175281530501,0.4678746639730994,Global Completo
pe_5_mqt.py,80,0.5249896423081243,0.45112470036055513,Global Completo
qft_3_mqt.py,81,0.1822573234815006,0.18150021541273517,Global Completo
grover_7_vq.py,82,0.8581949045580375,0.7456748435500893,Global Completo
adder_n10_vq.py,83,0.9028549025832472,0.7856793398023028,Global Completo
grover-v-chain_4_mqt.py,84,0.6857441499355058,0.5976362141604956,Global Completo
adder_n7_vq.py,85,0.30869094859635315,0.2596910135443729,Global Completo
pe_4_mqt.py,86,0.4421680512602073,0.37591107054748896,Global Completo
bv_4_vq.py,87,0.22980274491229946,0.21358988075749874,Global Completo
pe_5_vq.py,88,0.2894364327244359,0.2563338343687436,Global Completo
qaoa_indep_5_mqt.py,89,0.26805949233729964,0.2377384519734284,Global Completo
qaoa_indep_5_mqt.py,90,0.30639582842952373,0.27405348829070925,Global Completo
dj_indep_4_mqt.py,91,0.15951396844736962,0.15727381646470043,Global Completo
su2random_3_mqt.py,92,0.10082930908313,0.10071950180532081,Global Completo
su2_5_vq.py,93,0.2299796128885156,0.20781741461583833,Global Completo
kickback_7_vq.py,94,0.012975611657153392,0.01297542957299861,Global Completo
su2_5_vq.py,95,0.16762120269256062,0.14904451688824533,Global Completo
pe_7_mqt.py,96,0.37824867434755083,0.3359440038126874,Global Completo
dj_indep_4_mqt.py,97,0.17916773926983792,0.16655011204601497,Global Completo
su2random_3_mqt.py,98,0.11238558007753308,0.1121260053231534,Global Completo
pe_7_mqt.py,99,0.36330603799011935,0.3237669315124838,Global Completo
shor_mod15_mqt.py,100,0.2749270149119052,0.2552386581341924,Global Completo
dj_indep_4_mqt.py,1,0.21624157939484326,0.20167164641143248,Global DD
pe_5_vq.py,2,0.2708631525312846,0.2398840836379698,Global DD
adder_n4_vq.py,3,0.4389554231849706,0.412532269174386,Global DD
bv_2_vq.py,4,0.1450702781039301,0.1310419065052253,Global DD
grover_3_vq.py,5,0.23983212397329445,0.20257009741334378,Global DD
grover_7_vq.py,6,0.5739467058282821,0.501423746103559,Global DD
tsp_indep_4_mqt.py,7,0.35611783063102787,0.31848755098254594,Global DD
su2random_3_mqt.py,8,0.13111324407802447,0.13063354405203872,Global DD
pe_2_vq.py,9,0.1680165232011977,0.15694949932189425,Global DD
qft_2_mqt.py,10,0.13606565146700006,0.13567614835273786,Global DD
grover-v-chain_3_mqt.py,11,0.217584324419629,0.18633568304545323,Global DD
shor_mod15_mqt.py,12,0.24995105672171264,0.22575173415642671,Global DD
pe_5_mqt.py,13,0.6554478655316164,0.5674748384357641,Global DD
pe_6_vq.py,14,0.6251562390703289,0.5407794040865038,Global DD
