Circuito,Posicion,Hellinger,Jensen-Shannon,Modo
qaoa_indep_5_mqt.py,1,0.2318045475715154,0.22828280869447712,Local Completo
qft_7_vq.py,2,0.2099678049722886,0.20781423581353917,Local Completo
grover_3_vq.py,3,0.16221632619061127,0.16058235823334205,Local Completo
shor_mod21_mqt.py,4,0.04803147978753118,0.04801416641484256,Local Completo
bv_2_vq.py,5,0.16684831553671048,0.1618992587766965,Local Completo
tsp_indep_4_mqt.py,6,0.1087666993175448,0.1084010026431174,Local Completo
shor_mod21_mqt.py,7,0.23979507866993252,0.2376387155659894,Local Completo
pe_6_vq.py,8,0.27404424886982837,0.26781095139688954,Local Completo
kickback_7_vq.py,9,0.00813647772197923,0.008136432618901991,Local Completo
qwalk-noancilla_3_mqt.py,10,0.17686097193798073,0.17622331246245038,Local Completo
qwalk-noancilla_3_mqt.py,11,0.09549813286499843,0.09531145437245106,Local Completo
grover-v-chain_4_mqt.py,12,0.15866106437735192,0.1580018655984205,Local Completo
bv_4_vq.py,13,0.7632279487712695,0.7032613838525359,Local Completo
qft_3_mqt.py,14,0.10544947399167129,0.10529254398552437,Local Completo
dj_indep_4_mqt.py,15,0.17282257986158825,0.1697989645674149,Local Completo
simon_vq.py,16,0.06775442041935655,0.06771232661763596,Local Completo
qft_6_mqt.py,17,0.10641634436939895,0.10614886257103535,Local Completo
vqe_indep_4_mqt.py,18,0.08932388263817445,0.08857657741464782,Local Completo
simon_vq.py,19,0.016297944177855402,0.016297181643868196,Local Completo
3_17tc_vq.py,20,0.12092621323123656,0.12018331654214415,Local Completo
qwalk-v-chain_5_mqt.py,21,0.21754996400644955,0.2148564034427068,Local Completo
grover-noancilla_3_mqt.py,22,0.09888766186028096,0.09823470659668936,Local Completo
qft_4_mqt.py,23,0.17382772103417726,0.17291757442049924,Local Completo
grover-v-chain_3_mqt.py,24,0.15100052493020316,0.14940729407426262,Local Completo
bv_5_vq.py,25,0.6524159005006762,0.6131173051414048,Local Completo
shor_mod15_mqt.py,26,0.12015026136389556,0.11169549452960795,Local Completo
qft_2_mqt.py,27,0.07801788242435281,0.07797378086792041,Local Completo
qft_2_mqt.py,28,0.11119009966673601,0.11105285928805303,Local Completo
grover_9_vq.py,29,0.31314863708019336,0.28439695618316596,Local Completo
qft_3_vq.py,30,0.11330201562838367,0.1130239134331606,Local Completo
pe_4_mqt.py,31,0.17517716541204623,0.17183836997849772,Local Completo
qwalk-v-chain_3_mqt.py,32,0.13032109441852252,0.1299959876361512,Local Completo
tsp_indep_5_mqt.py,33,0.12720837611500355,0.12681522151202756,Local Completo
dj_indep_7_mqt.py,34,0.6719994966023674,0.6211844393646142,Local Completo
pe_2_vq.py,35,0.06661603679155959,0.06617405967262208,Local Completo
tsp_indep_4_mqt.py,36,0.12383108193010058,0.12298250450169493,Local Completo
grover-noancilla_4_mqt.py,37,0.12596034323179692,0.12560656506479972,Local Completo
3_17tc_vq.py,38,0.11936054751663447,0.11816222092457708,Local Completo
su2_5_vq.py,39,0.13511718742853393,0.13152451367594725,Local Completo
bv_4_vq.py,40,0.12380594220495146,0.12208178702513026,Local Completo
bv_3_vq.py,41,0.06449892244644956,0.06419381634683312,Local Completo
bv_2_vq.py,42,0.12466402090135004,0.12202290016327887,Local Completo
qaoa_indep_4_mqt.py,43,0.1443629599155857,0.14342627197270544,Local Completo
adder_n4_vq.py,44,0.09902925281725891,0.09730825509029345,Local Completo
grover-v-chain_4_mqt.py,45,0.1280528858365045,0.12777470547200542,Local Completo
grover_7_vq.py,46,0.351287272751355,0.3384279117344629,Local Completo
pe_5_mqt.py,47,0.25689006949476245,0.2507142284204924,Local Completo
bv_9_vq.py,48,0.6794312674802602,0.616672391571866,Local Completo
pe_4_mqt.py,49,0.2440227212111996,0.23684718381329659,Local Completo
shor_mod15_mqt.py,50,0.17967642864028435,0.1780114645811223,Local Completo
tsp_indep_5_mqt.py,51,0.09138996268892213,0.09126655973093731,Local Completo
bv_5_vq.py,52,0.16051681153320213,0.1577332988275419,Local Completo
